date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2017-08-15,0050,101000,6000,0,0,107000,140125000,2381000,0,0,0,2381000,961859,
2017-08-15,0051,0,0,0,0,0,2625000,0,0,0,0,0,32823,
2017-08-15,0052,0,0,0,0,0,1625000,0,0,0,0,0,1804,X
2017-08-15,0053,0,0,0,0,0,1997000,0,0,0,0,0,6943,X
2017-08-15,0054,0,0,0,0,0,3281000,0,0,0,0,0,12150,X
2017-08-15,0055,0,0,0,0,0,11913500,0,0,0,0,0,26882,
2017-08-15,0056,33000,0,0,0,33000,79758500,0,0,0,0,0,465727,
2017-08-15,0057,0,0,0,0,0,1256750,0,0,0,0,0,2670,X
2017-08-15,0058,0,0,0,0,0,1174000,0,0,0,0,0,1234,X
2017-08-15,0059,0,0,0,0,0,1368250,0,0,0,0,0,6354,
2017-08-15,0061,294000,0,0,0,294000,161279000,3445000,0,0,0,3445000,1225477,
2017-08-15,006203,0,0,0,0,0,1929500,0,0,0,0,0,240,X
2017-08-15,006204,0,0,0,0,0,750000,0,0,0,0,0,1508,X
2017-08-15,006205,120000,0,0,0,120000,159173750,1108000,0,0,0,1108000,1360065,
2017-08-15,006206,26000,5000,10000,0,21000,81194500,904000,0,133000,0,771000,475738,
2017-08-15,006207,25000,0,0,0,25000,60848000,432000,0,0,0,432000,585778,
2017-08-15,006208,0,0,0,0,0,5635000,0,0,0,0,0,3741,X
2017-08-15,00631L,1616000,65000,70000,20000,1591000,5271000,0,0,0,0,0,721476,
2017-08-15,00632R,2585000,182000,37000,0,2730000,1193537250,68176000,0,0,0,68176000,11498773,
2017-08-15,00633L,15002000,313000,351000,40000,14924000,169739500,17573000,1234000,0,0,18807000,10436813,
2017-08-15,00634R,1882000,20000,0,0,1902000,18689000,1590000,0,0,0,1590000,626688,
2017-08-15,00635U,145000,58000,2000,0,201000,16128500,0,0,0,0,0,511008,
2017-08-15,00636,793000,0,0,213000,580000,86736500,1106000,0,0,0,1106000,1215043,
2017-08-15,00637L,18902000,1070000,835000,0,19137000,416526500,85447000,2924000,0,0,88371000,24423728,
2017-08-15,00638R,86000,0,0,0,86000,1612000,0,0,0,0,0,36336,
2017-08-15,00639,103000,10000,0,0,113000,121725750,3935000,0,0,0,3935000,1798306,
2017-08-15,00640L,246000,1000,0,0,247000,3479750,0,0,0,0,0,265831,
2017-08-15,00641R,157000,0,0,0,157000,9189500,322000,0,0,0,322000,244659,
2017-08-15,00642U,3351000,16000,44000,0,3323000,77205250,855000,0,306000,0,549000,1786273,
2017-08-15,00643,512000,0,1000,0,511000,73285000,2393000,0,0,0,2393000,954727,
2017-08-15,00645,0,0,0,0,0,5624250,0,0,0,0,0,25934,X
2017-08-15,00646,0,0,0,0,0,31996250,0,0,0,0,0,26771,
2017-08-15,00647L,2000,0,0,0,2000,1229000,0,0,0,0,0,2019,
2017-08-15,00648R,348000,1000,0,0,349000,44422000,0,0,0,0,0,281093,
2017-08-15,00649,0,0,0,0,0,3068000,0,0,0,0,0,44479,
2017-08-15,00650L,115000,7000,8000,0,114000,1084500,0,0,0,0,0,246000,
2017-08-15,00651R,0,0,0,0,0,5673000,26000,0,0,0,26000,73249,
2017-08-15,00652,0,0,0,0,0,2633750,0,0,0,0,0,57291,
2017-08-15,00653L,254000,0,0,0,254000,3850750,94000,102000,0,0,196000,220562,
2017-08-15,00654R,2000,0,0,0,2000,2491500,0,0,0,0,0,63999,
2017-08-15,00655L,689000,28000,11000,0,706000,36989500,2182000,25000,0,0,2207000,2358883,
2017-08-15,00656R,0,0,0,0,0,1839250,0,0,0,0,0,37969,
2017-08-15,00657,0,0,0,0,0,2778250,0,0,0,0,0,4399,
2017-08-15,00658L,5000,2000,0,0,7000,1336250,0,0,0,0,0,12639,
2017-08-15,00659R,117000,0,4000,0,113000,3270000,0,0,0,0,0,30072,
2017-08-15,00660,0,0,0,0,0,10257750,0,0,0,0,0,14805,
