date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2024-12-12,9921,45000,0,0,0,45000,98016156,6769496,26000,72000,0,6723496,766094,
2024-12-12,9924,0,0,0,0,0,47113042,3120000,10000,0,0,3130000,96002,
2024-12-12,9925,0,0,0,0,0,96872401,933000,0,7000,0,926000,32419,
2024-12-12,9926,0,0,0,0,0,44876018,29000,0,0,0,29000,2303,
2024-12-12,9927,0,0,0,0,0,41829633,2656000,16000,0,0,2672000,67319,
2024-12-12,9928,0,0,0,0,0,15481085,7000,0,0,0,7000,37589,
2024-12-12,9929,0,0,0,0,0,0,0,0,0,0,0,0,XV
2024-12-12,9930,0,0,0,0,0,62135092,359000,1000,0,0,360000,18191,
2024-12-12,9931,0,0,0,0,0,30092325,34320,0,0,0,34320,5591,
2024-12-12,9933,149000,0,0,0,149000,202977534,14699000,370000,0,0,15069000,527685,
2024-12-12,9934,2000,0,0,0,2000,102403490,1966000,4000,0,0,1970000,377387,
2024-12-12,9935,69000,12000,5000,1000,75000,44459731,1676250,14000,0,0,1690250,322159,
2024-12-12,9937,0,0,0,0,0,77260750,96000,0,0,0,96000,7332,
2024-12-12,9938,54000,0,3000,0,51000,74490975,3655000,51000,105000,0,3601000,670409,
2024-12-12,9939,27000,1000,1000,0,27000,73946469,3128000,5000,50000,0,3083000,254990,
2024-12-12,9940,0,0,0,0,0,184211625,4179000,3000,0,0,4182000,76969,
2024-12-12,9941,13000,2000,0,0,15000,137056273,26668321,190000,183000,0,26675321,368843,
2024-12-12,9942,2000,0,0,0,2000,20790330,1041000,0,0,0,1041000,15972,
2024-12-12,9943,5000,0,0,0,5000,31304990,861000,0,0,0,861000,20437,
2024-12-12,9944,0,0,0,0,0,27276775,627000,2000,0,0,629000,38694,
2024-12-12,9945,87000,2000,0,0,89000,711056271,25004000,2000,916000,0,24090000,1289645,
2024-12-12,9946,13000,0,0,0,13000,81638537,2444600,0,0,0,2444600,114593,
2024-12-12,9955,371000,2000,5000,0,368000,26128432,1820000,0,0,0,1820000,210387,
2024-12-12,9958,132000,0,17000,0,115000,64224166,17523339,162000,269000,0,17416339,1217710,
