date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2021-01-19,0050,6000,0,0,6000,0,223875000,33752000,0,3575000,0,30177000,2309349,X
2021-01-19,0051,0,0,0,0,0,2500000,10000,0,0,0,10000,17186,
2021-01-19,0052,3000,0,0,0,3000,11000000,51000,0,0,0,51000,365194,
2021-01-19,0053,0,0,0,0,0,1372000,0,0,0,0,0,10310,
2021-01-19,0054,0,0,0,0,0,1906000,0,0,0,0,0,6258,X
2021-01-19,0055,0,0,0,0,0,9038500,42000,0,0,0,42000,36919,
2021-01-19,0056,155000,11000,4000,0,162000,533008500,966000,0,0,0,966000,5472458,
2021-01-19,0057,0,0,0,0,0,1381750,0,0,0,0,0,12074,X
2021-01-19,0061,38000,0,0,0,38000,37404000,1984000,0,0,0,1984000,170367,
2021-01-19,006203,0,0,0,0,0,2679500,6000,0,0,0,6000,2654,X
2021-01-19,006204,0,0,0,0,0,500000,0,0,0,0,0,1093,X
2021-01-19,006205,7000,0,0,0,7000,33974000,2049000,0,60000,0,1989000,580956,
2021-01-19,006206,13000,0,0,0,13000,12069500,699000,0,0,0,699000,411990,
2021-01-19,006207,0,0,0,0,0,11473000,330000,0,0,0,330000,156960,
2021-01-19,006208,2000,0,2000,0,0,25010000,1187000,0,0,0,1187000,581922,
2021-01-19,00631L,1161000,40000,8000,0,1193000,26646000,90000,0,0,0,90000,1242351,
2021-01-19,00632R,20237000,1070000,228000,0,21079000,2674537250,122386000,2252000,0,0,124638000,36592351,
2021-01-19,00633L,3722000,4000,42000,0,3684000,36239500,3221000,0,0,0,3221000,2322725,
2021-01-19,00634R,117000,0,0,0,117000,31439000,1172000,0,0,0,1172000,471213,
2021-01-19,00635U,15000,0,0,0,15000,17253500,55000,0,0,0,55000,313951,
2021-01-19,00636,0,0,0,0,0,31061000,1120000,0,0,0,1120000,374176,
2021-01-19,00637L,24137000,92000,335000,30000,23864000,138901500,20608000,975000,0,0,21583000,18082957,
2021-01-19,00638R,81000,0,0,0,81000,16487000,4038000,0,0,0,4038000,396482,
