date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2021-07-01,0050,145000,1000,6000,0,140000,336250000,24651000,0,0,0,24651000,2089558,
2021-07-01,0051,0,0,0,0,0,2625000,20000,0,0,0,20000,26538,
2021-07-01,0052,4000,0,0,0,4000,13750000,264000,0,0,0,264000,253492,
2021-07-01,0053,0,0,0,0,0,1372000,10000,0,0,0,10000,4751,
2021-07-01,0054,0,0,0,0,0,1781000,0,0,0,0,0,1775,X
2021-07-01,0055,0,0,0,0,0,9413500,81000,0,0,0,81000,40020,
2021-07-01,0056,87000,0,5000,0,82000,560758500,5053000,0,0,0,5053000,3088025,
2021-07-01,0057,0,0,0,0,0,1381750,0,0,0,0,0,8814,X
2021-07-01,0061,37000,0,0,0,37000,36279000,396000,0,0,0,396000,98415,
2021-07-01,006203,0,0,0,0,0,2679500,6000,0,0,0,6000,2032,X
2021-07-01,006204,0,0,0,0,0,375000,0,0,0,0,0,7247,X
2021-07-01,006205,3000,0,0,0,3000,37586500,1407000,0,375000,0,1032000,448245,
2021-07-01,006206,0,0,0,0,0,9944500,240000,0,0,0,240000,106923,
2021-07-01,006207,0,0,0,0,0,10598000,412000,0,0,0,412000,92795,
2021-07-01,006208,7000,0,0,0,7000,43760000,2529000,0,0,0,2529000,505212,
2021-07-01,00631L,1019000,18000,42000,0,995000,35896000,91000,0,0,0,91000,1115961,
2021-07-01,00632R,20980000,294000,30000,0,21244000,2672787250,165940000,0,0,0,165940000,47476720,
2021-07-01,00633L,1196000,14000,36000,0,1174000,49864500,8298000,0,0,0,8298000,2421789,
2021-07-01,00634R,88000,0,0,0,88000,25564000,1054000,0,0,0,1054000,202145,
2021-07-01,00635U,10000,0,0,0,10000,20753500,72000,0,0,0,72000,296064,
2021-07-01,00636,0,0,0,0,0,34686000,466000,0,0,0,466000,667848,
