date,investor,buy,sell,net
2012-11-08,合計,24210117641,25979942288,-1769824647
2012-11-08,外資及陸資,20214314304,21506423146,-1292108842
2012-11-08,投信,1492219910,1473330046,18889864
2012-11-08,自營商,2503583427,3000189096,-496605669
