date,investor,buy,sell,net
2005-03-24,合計,15164933770,20517576410,-5352642640
2005-03-24,外資,9768462410,14928731733,-5160269323
2005-03-24,投信,2691210100,2918629315,-227419215
2005-03-24,自營商,2705261260,2670215362,35045898
