date,investor,buy,sell,net
2007-05-24,合計,25684202431,20883486145,4800716286
2007-05-24,外資,19578617341,15873180823,3705436518
2007-05-24,投信,3396023910,2480177102,915846808
2007-05-24,自營商,2709561180,2530128220,179432960
