set,N,d,rule,m_total,win_rate,P10,n10,P20,n20,P50,n50
AND,10,inf,null,366,0.5300546448087432,0.6918767507002801,357,0.7463976945244957,347,0.9053627760252366,317
AND,10,inf,relvol,365,0.5178082191780822,0.6825842696629213,356,0.7427745664739884,346,0.9113924050632911,316
AND,20,inf,null,701,0.5092724679029957,0.6791907514450867,692,0.7287390029325513,682,0.7929447852760736,652
AND,20,inf,relvol,699,0.5107296137339056,0.6927536231884058,690,0.7647058823529411,680,0.8107692307692308,650
AND,2,inf,null,76,0.5394736842105263,0.6865671641791045,67,0.7017543859649122,57,1.0,27
AND,2,inf,relvol,76,0.5263157894736842,0.7014925373134329,67,0.7368421052631579,57,1.0,27
AND,30,inf,null,969,0.5077399380804953,0.665625,960,0.7252631578947368,950,0.7902173913043479,920
AND,30,inf,relvol,971,0.5128733264675592,0.682952182952183,962,0.7321428571428571,952,0.7754880694143167,922
AND,3,inf,null,114,0.5263157894736842,0.6476190476190476,105,0.631578947368421,95,0.8153846153846154,65
AND,3,inf,relvol,114,0.5350877192982456,0.6476190476190476,105,0.6421052631578947,95,0.8923076923076924,65
AND,40,inf,null,1135,0.520704845814978,0.7024866785079928,1126,0.7580645161290323,1116,0.8139963167587477,1086
AND,40,inf,relvol,1137,0.523306948109059,0.7118794326241135,1128,0.759391771019678,1118,0.8409926470588235,1088
AND,5,inf,null,188,0.5478723404255319,0.6983240223463687,179,0.7514792899408284,169,0.8489208633093526,139
AND,5,inf,relvol,188,0.5372340425531915,0.7039106145251397,179,0.7869822485207101,169,0.8273381294964028,139
AND,8,1,null,297,0.5218855218855218,0.6631944444444444,288,0.7266187050359713,278,0.7661290322580645,248
AND,8,1,relvol,296,0.5337837837837838,0.7142857142857143,287,0.7653429602888087,277,0.9433198380566802,247
AND,8,2,null,297,0.5218855218855218,0.6180555555555556,288,0.7086330935251799,278,0.8467741935483871,248
AND,8,2,relvol,296,0.527027027027027,0.686411149825784,287,0.7617328519855595,277,0.9230769230769231,247
AND,8,3,null,297,0.5286195286195287,0.5972222222222222,288,0.7050359712230215,278,0.8467741935483871,248
AND,8,3,relvol,296,0.527027027027027,0.6689895470383276,287,0.7653429602888087,277,0.9068825910931174,247
AND,8,inf,null,297,0.5286195286195287,0.5972222222222222,288,0.7050359712230215,278,0.8467741935483871,248
AND,8,inf,relvol,296,0.527027027027027,0.6689895470383276,287,0.7653429602888087,277,0.9068825910931174,247
S,10,inf,null,431,0.48491879350348027,0.6919431279620853,422,0.7597087378640777,412,0.8612565445026178,382
S,10,inf,relvol,432,0.46064814814814814,0.7186761229314421,423,0.7530266343825666,413,0.8511749347258486,383
S,20,inf,null,860,0.46744186046511627,0.6745005875440658,851,0.7491082045184304,841,0.7595561035758323,811
S,20,inf,relvol,861,0.45876887340301975,0.6889671361502347,852,0.7304038004750594,842,0.8066502463054187,812
S,2,inf,null,86,0.47674418604651164,0.6103896103896104,77,0.746268656716418,67,1.0,37
S,2,inf,relvol,86,0.4883720930232558,0.6103896103896104,77,0.6268656716417911,67,1.0,37
S,30,inf,null,1291,0.47172734314484893,0.6528861154446178,1282,0.6933962264150944,1272,0.7785829307568438,1242
S,30,inf,relvol,1290,0.45968992248062013,0.6565183450429352,1281,0.7199055861526357,1271,0.8235294117647058,1241
S,3,inf,null,130,0.4461538461538462,0.743801652892562,121,0.918918918918919,111,1.0,81
S,3,inf,relvol,130,0.5307692307692308,0.7355371900826446,121,0.8648648648648649,111,0.9876543209876543,81
S,40,inf,null,1721,0.48285880302149914,0.6477803738317757,1712,0.6980023501762632,1702,0.7685406698564593,1672
S,40,inf,relvol,1720,0.4441860465116279,0.6353009935710111,1711,0.6801881246325691,1701,0.7797725912627169,1671
S,5,inf,null,215,0.4744186046511628,0.7233009708737864,206,0.8826530612244898,196,0.9939759036144579,166
S,5,inf,relvol,217,0.48847926267281105,0.7548076923076923,208,0.8333333333333334,198,0.9940476190476191,168
S,8,1,null,345,0.4463768115942029,0.6815476190476191,336,0.7515337423312883,326,0.7668918918918919,296
S,8,1,relvol,345,0.4579710144927536,0.7321428571428571,336,0.7791411042944786,326,0.8378378378378378,296
S,8,2,null,346,0.49710982658959535,0.744807121661721,337,0.7675840978593272,327,0.9696969696969697,297
S,8,2,relvol,346,0.4624277456647399,0.655786350148368,337,0.7003058103975535,327,0.7845117845117845,297
S,8,3,null,346,0.4624277456647399,0.6409495548961425,337,0.709480122324159,327,0.8821548821548821,297
S,8,3,relvol,346,0.47109826589595377,0.7329376854599406,337,0.764525993883792,327,0.8417508417508418,297
S,8,inf,null,347,0.46397694524495675,0.6775147928994083,338,0.7378048780487805,328,0.8624161073825504,298
S,8,inf,relvol,346,0.4682080924855491,0.7091988130563798,337,0.7889908256880734,327,0.8754208754208754,297
