set,N,d,rule,cagr,cagr_p10,cagr_p90,mdd,mdd_p10,mdd_p90,slot,m,m_p10,m_p90,pos_frac,pos_p10,pos_p90,deferred,delay_med,expired,ca,ma,cb,mb,win,unstable,med_seed,diff_H20_p10,diff_H20_p50,diff_H20_p90,diff_H60_p10,diff_H60_p50,diff_H60_p90,diff_H120_p10,diff_H120_p50,diff_H120_p90
AND,2,inf,null,0.19386718546569037,0.10946798006853037,0.32017064671479845,-0.8021525281166901,-0.8529094208147662,-0.7079836210315554,0.9585292860196665,76.0,76.0,76.0,0.5394736842105263,0.5,0.5657894736842105,0.0,,0.0,0.6394795458447589,-0.35388278039620136,-0.03825223556515772,-0.799011287925033,False,False,7103,0.05134891985734172,0.08190164210122954,0.12699343264361315,-0.02424749537347996,0.02856263476081628,0.10374453991453657,-0.16481214040669248,-0.04462212765881951,0.08843387463607427
AND,2,inf,relvol,0.31945073997035056,0.31945073997035056,0.31945073997035056,-0.8247429259395476,-0.8247429259395476,-0.8247429259395476,0.9585292860196665,76.0,76.0,76.0,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.0,,0.0,0.7106935920406345,-0.45106209747897813,0.09518716556525986,-0.8247429259395476,False,False,7100,0.14330902802333279,0.14330902802333279,0.14330902802333279,0.12454805397805313,0.12454805397805313,0.12454805397805313,0.0536435421104445,0.0536435421104445,0.0536435421104445
AND,3,inf,null,0.2310109042210593,0.14812267214779473,0.31327095427855833,-0.6535671696379288,-0.7680610286796018,-0.5373151757769776,0.9585292860196665,114.0,114.0,114.0,0.5175438596491229,0.5,0.543859649122807,0.0,,0.0,0.4851432629953216,-0.4919769241114132,0.0755576180180978,-0.649711384702991,False,False,7005,0.05770577812569066,0.08107602818810655,0.10869900476477483,-0.03081577460145697,0.019603555498173303,0.07185771952689717,-0.11461315364353411,-0.012199756270769385,0.07774274235619888
AND,3,inf,relvol,0.29385576501198774,0.29385576501198774,0.29385576501198774,-0.7353547260445153,-0.7353547260445153,-0.7353547260445153,0.9585292860196665,114.0,114.0,114.0,0.5350877192982456,0.5350877192982456,0.5350877192982456,0.0,,0.0,0.5675732205058319,-0.49208233267614027,0.1274449498175112,-0.7353547260445153,False,False,7100,0.13896103307091126,0.13896103307091126,0.13896103307091126,0.0751607157148941,0.0751607157148941,0.0751607157148941,0.06422079543834772,0.06422079543834772,0.06422079543834772
AND,5,inf,null,0.21846872492549885,0.16773380386052358,0.26352366825879825,-0.5084223814964709,-0.5873624885827174,-0.4271791810640034,0.9484395040615647,188.0,188.0,188.0,0.5319148936170213,0.5106382978723404,0.5478723404255319,0.0,,0.0,0.35205817778927595,-0.3787525481386832,0.12199071714983378,-0.5084223814964709,False,False,7193,0.04847265738182196,0.06601285311744097,0.0828662733620171,-0.024419952886934385,0.011063101521613824,0.042428698303754814,-0.03143858948275488,0.03636923966111158,0.09499116958638221
AND,5,inf,relvol,0.2944533424998166,0.2944533424998166,0.2944533424998166,-0.49648419219475554,-0.49648419219475554,-0.49648419219475554,0.9484395040615647,188.0,188.0,188.0,0.5372340425531915,0.5372340425531915,0.5372340425531915,0.0,,0.0,0.4362640011486367,-0.38354622047294923,0.2010761388327269,-0.49648419219475554,False,False,7100,0.09885737801725708,0.09885737801725708,0.09885737801725708,0.06556454474075118,0.06556454474075118,0.06556454474075118,0.10842916577848644,0.10842916577848644,0.10842916577848644
AND,8,inf,null,0.2615694714190694,0.22080222926300272,0.2995359461868143,-0.46040102101816405,-0.5435504434139633,-0.41847048921167607,0.9349080803762291,296.5,296.0,297.0,0.5151515151515151,0.5016835016835017,0.531986531986532,0.0,,0.0,0.4030087904571015,-0.39884691332241184,0.165612543295923,-0.46040102101816405,False,False,7093,0.006076532245279762,0.027655101052936983,0.048827534684217515,-0.014353123891980655,0.01819380362590578,0.05250518332034063,0.03464188932916408,0.08116854914654453,0.13171399390006033
AND,8,inf,relvol,0.3196071538715821,0.3196071538715821,0.3196071538715821,-0.43261227806506686,-0.43261227806506686,-0.43261227806506686,0.9333582727661394,296.0,296.0,296.0,0.527027027027027,0.527027027027027,0.527027027027027,0.0,,0.0,0.42924303851418233,-0.4018141289288663,0.2444113035168125,-0.43261227806506686,False,False,7100,0.05176022697633827,0.05176022697633827,0.05176022697633827,0.07055549798985357,0.07055549798985357,0.07055549798985357,0.15843128044651933,0.15843128044651933,0.15843128044651933
AND,10,inf,null,0.2941299846502553,0.2552319271508662,0.3355417497285448,-0.4478599060924928,-0.48409688977977344,-0.4074277881894542,0.9232578024796921,366.0,364.0,367.0,0.5198333682666108,0.5068455824717256,0.532967032967033,0.0,,0.0,0.335317409562245,-0.39330290831666814,0.2586812948356987,-0.4478599060924928,False,False,7063,0.019831380959750927,0.03178208052081611,0.04871944670411494,0.006939686623507573,0.028193768220010337,0.0573631584722289,0.0433563793662383,0.08062559745263786,0.11929452855272768
AND,10,inf,relvol,0.3341523859890154,0.3341523859890154,0.3341523859890154,-0.4446988844436075,-0.4446988844436075,-0.4446988844436075,0.9207353569901667,365.0,365.0,365.0,0.5178082191780822,0.5178082191780822,0.5178082191780822,0.0,,0.0,0.3421692484438119,-0.3939632858193763,0.32477429707312333,-0.4446988844436075,False,False,7100,0.043684647382012914,0.043684647382012914,0.043684647382012914,0.045688521344507876,0.045688521344507876,0.045688521344507876,0.1251769304595786,0.1251769304595786,0.1251769304595786
AND,20,inf,null,0.34686108160224627,0.3150002002674135,0.37416679223739235,-0.32685173409769164,-0.34238119716548904,-0.31696834577704974,0.8828986746472852,700.0,699.0,701.0,0.513571456268278,0.5050057245014785,0.5228571428571429,0.0,,0.0,0.33844660752068567,-0.32287348527892556,0.34913973551954847,-0.3250496770018053,False,False,7026,-0.0028004404724856964,0.012847515281865347,0.033419965134374036,-0.026498338396127166,0.00027587634251245025,0.024665424148301432,-0.03651596929419323,0.0039701017142503015,0.043210307424701826
AND,20,inf,relvol,0.35009406669822396,0.35009406669822396,0.35009406669822396,-0.3169750973808795,-0.3169750973808795,-0.3169750973808795,0.8816374519025224,699.0,699.0,699.0,0.5107296137339056,0.5107296137339056,0.5107296137339056,0.0,,0.0,0.33381371662413706,-0.2987180650371076,0.35982540426756016,-0.3169750973808795,False,False,7100,0.009761714255568932,0.009761714255568932,0.009761714255568932,-0.0037993250172257964,-0.0037993250172257964,-0.0037993250172257964,0.018295188119618944,0.018295188119618944,0.018295188119618944
AND,30,inf,null,0.31708723181311216,0.3011311798894062,0.33409719711812375,-0.3394896742169383,-0.35111302305657494,-0.32758646182374057,0.8147926464300983,969.0,968.0,971.0,0.5092783505154639,0.5036045314109165,0.5149638802889577,0.0,,0.0,0.3272874448434555,-0.2667782612018734,0.3080207359561824,-0.3394896742169383,True,False,7048,-0.009146245586824631,0.002122846085014219,0.013565320108227613,-0.04081715557967788,-0.01964955076118309,0.004172086335447839,-0.09130086086441763,-0.05404830245699305,-0.014405100124155617
AND,30,inf,relvol,0.3414952728145022,0.3414952728145022,0.3414952728145022,-0.3436426970693942,-0.3436426970693942,-0.3436426970693942,0.8164742767564486,971.0,971.0,971.0,0.5128733264675592,0.5128733264675592,0.5128733264675592,0.0,,0.0,0.3440808714708852,-0.2744876020290582,0.33727412911155996,-0.3436426970693942,False,False,7100,-0.0029209891237538393,-0.0029209891237538393,-0.0029209891237538393,-0.0012062276197945254,-0.0012062276197945254,-0.0012062276197945254,-0.018703268103437642,-0.018703268103437642,-0.018703268103437642
AND,40,inf,null,0.3231462657135755,0.3103815807132957,0.3374206612434747,-0.2610274251110452,-0.27095172733657935,-0.25149502775988436,0.7158080376229158,1135.0,1134.0,1137.0,0.5206684256816183,0.5158450704225352,0.5246522343940184,0.0,,0.0,0.32137304456770954,-0.18576758016810108,0.3213056939616744,-0.2610274251110452,True,False,7100,-0.009001203373454704,0.0021344836680082177,0.015534658109668463,0.0010178646315421153,0.022184841024888435,0.04512478501686149,-0.006269597732235459,0.03871295257554373,0.07749554413120481
AND,40,inf,relvol,0.33687393903265006,0.33687393903265006,0.33687393903265006,-0.26133736538287033,-0.26133736538287033,-0.26133736538287033,0.7170692603676785,1137.0,1137.0,1137.0,0.523306948109059,0.523306948109059,0.523306948109059,0.0,,0.0,0.33142152072115727,-0.19325938093824582,0.33672798678687865,-0.26133736538287033,True,False,7100,0.011292725461753562,0.011292725461753562,0.011292725461753562,0.0399498244392099,0.0399498244392099,0.0399498244392099,0.05611504406058074,0.05611504406058074,0.05611504406058074
AND,8,1.0,null,0.2814511636679452,0.2321025173033437,0.3302283367574843,-0.4580298811427668,-0.5212292021535414,-0.40887109140313266,0.9343202223172296,297.0,296.0,297.0,0.5202702702702703,0.5033783783783784,0.5405405405405406,24.5,1.0,12.0,0.434516305338134,-0.39950964035554737,0.1800064622116625,-0.4580298811427668,False,False,7018,0.009232011176268179,0.027145629402149526,0.04318580889298896,-0.007796477678709972,0.017972121965145027,0.04460720215346368,-0.012535594085750423,0.04451581749357229,0.09053231355873427
AND,8,1.0,relvol,0.4044783372406753,0.4044783372406753,0.4044783372406753,-0.4016933288521341,-0.4016933288521341,-0.4016933288521341,0.9317015818725951,296.0,296.0,296.0,0.5337837837837838,0.5337837837837838,0.5337837837837838,20.0,1.0,17.0,0.459518360550597,-0.4016933288521341,0.36436837093092467,-0.381480406286474,False,False,7100,0.04827670069252278,0.04827670069252278,0.04827670069252278,0.07223907930121079,0.07223907930121079,0.07223907930121079,0.08172511486023762,0.08172511486023762,0.08172511486023762
AND,8,2.0,null,0.2710899785231117,0.22819585162662143,0.31789508194371086,-0.460827037613491,-0.5381550667442808,-0.41236062656184497,0.9361105173150919,297.0,296.0,297.0,0.5202702702702703,0.5048832923832924,0.5371621621621622,3.0,1.0,0.0,0.43052134907437456,-0.39882082188286394,0.16398659333515286,-0.460827037613491,False,False,7032,0.0075852525939309875,0.02952727926049257,0.04839669261008415,-0.011074103283585329,0.020353977522904212,0.05692137654045389,0.02815823660357048,0.08425550491163825,0.12878537661442171
AND,8,2.0,relvol,0.3458680410720658,0.3458680410720658,0.3458680410720658,-0.43259293411818267,-0.43259293411818267,-0.43259293411818267,0.9329841812740487,296.0,296.0,296.0,0.527027027027027,0.527027027027027,0.527027027027027,3.0,2.0,1.0,0.4801689856109421,-0.4016878230243051,0.25579488986349697,-0.43259293411818267,False,False,7100,0.05543938494207152,0.05543938494207152,0.05543938494207152,0.07837858484646482,0.07837858484646482,0.07837858484646482,0.15591656061183512,0.15591656061183512,0.15591656061183512
AND,8,3.0,null,0.2615694714190694,0.22080222926300272,0.2995359461868143,-0.46040102101816405,-0.5435504434139633,-0.41847048921167607,0.9349080803762291,296.5,296.0,297.0,0.5151515151515151,0.5016835016835017,0.531986531986532,0.0,,0.0,0.4030087904571015,-0.39884691332241184,0.165612543295923,-0.46040102101816405,False,False,7093,0.006076532245279762,0.027655101052936983,0.048827534684217515,-0.014353123891980655,0.01819380362590578,0.05250518332034063,0.03464188932916408,0.08116854914654453,0.13171399390006033
AND,8,3.0,relvol,0.3196071538715821,0.3196071538715821,0.3196071538715821,-0.43261227806506686,-0.43261227806506686,-0.43261227806506686,0.9333582727661394,296.0,296.0,296.0,0.527027027027027,0.527027027027027,0.527027027027027,0.0,,0.0,0.42924303851418233,-0.4018141289288663,0.2444113035168125,-0.43261227806506686,False,False,7100,0.05176022697633827,0.05176022697633827,0.05176022697633827,0.07055549798985357,0.07055549798985357,0.07055549798985357,0.15843128044651933,0.15843128044651933,0.15843128044651933
S,2,inf,null,0.17220123394879472,0.018070428666572786,0.32021078943683146,-0.6164715251210127,-0.7528671606917889,-0.4786730436811701,0.9886538461538461,87.0,86.0,88.0,0.47126436781609193,0.4065089548249131,0.5340909090909091,0.0,,0.0,0.19177542547353854,-0.492554771969647,0.15856147358264083,-0.5752064019379438,False,False,7111,-0.023351799527089392,0.001652745658113226,0.032142209740453336,-0.05365040428614398,-0.0052583744393465415,0.04591819239793582,-0.058632991048080764,-0.005320165858122519,0.07145506076286391
S,2,inf,relvol,0.01740344669960403,0.01740344669960403,0.01740344669960403,-0.8498797697750956,-0.8498797697750956,-0.8498797697750956,0.9809615384615384,86.0,86.0,86.0,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.0,,0.0,0.24691956992175146,-0.5114369615786204,-0.14451062583955376,-0.8498797697750956,False,False,7100,-0.006601520381011904,-0.006601520381011904,-0.006601520381011904,-0.03839911930172188,-0.03839911930172188,-0.03839911930172188,-0.03508956168876551,-0.03508956168876551,-0.03508956168876551
