set,N,d,r1_cagr,null_p50,null_p2_5,null_p97_5,pct_cagr,r1_mdd,null_mdd_p50,pct_mdd
AND,2,inf,0.3194507399703505,0.19386718546569037,0.07604193119904645,0.3656266319686999,89.5,-0.8247429259395476,-0.8021525281166901,30.0
AND,3,inf,0.2938557650119877,0.2310109042210593,0.12100334687704714,0.3583033557428469,83.0,-0.7353547260445153,-0.6535671696379288,18.0
AND,5,inf,0.2944533424998166,0.21846872492549885,0.1385854409188106,0.29383726088687717,97.5,-0.4964841921947555,-0.5084223814964709,58.5
AND,8,inf,0.3196071538715821,0.2615694714190694,0.19512228481478364,0.31322569910512277,98.0,-0.4326122780650668,-0.46040102101816405,77.0
AND,10,inf,0.3341523859890154,0.2941299846502553,0.23068123886211042,0.35523359894036866,88.0,-0.4446988844436075,-0.4478599060924928,56.99999999999999
AND,20,inf,0.3500940666982239,0.34686108160224627,0.3070042819410729,0.38705185281504284,56.00000000000001,-0.3169750973808795,-0.32685173409769164,90.0
AND,30,inf,0.3414952728145022,0.31708723181311216,0.2924573021918932,0.3421637035228557,96.5,-0.3436426970693942,-0.3394896742169383,35.5
AND,40,inf,0.33687393903265,0.3231462657135755,0.3045477562304385,0.3437142930641034,89.5,-0.2613373653828703,-0.2610274251110452,49.0
AND,8,1.0,0.4044783372406753,0.2814511636679452,0.20620736245588678,0.3666045825554375,100.0,-0.4016933288521341,-0.4580298811427668,95.0
AND,8,2.0,0.3458680410720658,0.2710899785231117,0.2140519289958239,0.33772709321444355,99.5,-0.4325929341181826,-0.460827037613491,76.5
AND,8,3.0,0.3196071538715821,0.2615694714190694,0.19512228481478364,0.31322569910512277,98.0,-0.4326122780650668,-0.46040102101816405,77.0
S,2,inf,0.017403446699604,0.17220123394879472,-0.06741184030486759,0.46811814475369873,10.0,-0.8498797697750956,-0.6164715251210127,2.0
S,3,inf,0.1699318337605759,0.20682335088974058,0.0028484589223935156,0.41804810167703055,37.0,-0.5963316418955996,-0.5554979095778989,33.0
S,5,inf,0.299694617995575,0.2303264938099301,0.06751183971636972,0.40879768233032326,83.0,-0.4998430374727183,-0.4916394300589004,46.0
S,8,inf,0.2244396273130424,0.24308130704057496,0.15117166276054428,0.3799772731152336,37.0,-0.4710583054213225,-0.4486368612367364,39.0
S,10,inf,0.2200423706089629,0.2528731148424146,0.14821002264052446,0.37195748351602237,23.5,-0.4857101947780382,-0.42125082985666673,16.0
S,20,inf,0.2515906093111946,0.22688971138510372,0.15550187091998965,0.2976223581716156,74.5,-0.3976400260709369,-0.4009660548563121,53.5
S,30,inf,0.257910706445382,0.22807789300074466,0.17311703352213761,0.2975776317482111,81.5,-0.354072148279991,-0.38486775677207746,80.5
S,40,inf,0.2068486103019404,0.22580995651306746,0.17618934987296736,0.2772380944081964,25.0,-0.307998229228683,-0.37039625748051935,99.0
S,8,1.0,0.2206145430688735,0.21050776675301064,0.0866347121490219,0.3565074803160345,56.99999999999999,-0.4683393124951385,-0.4388796319055739,31.0
S,8,2.0,0.1649925424217511,0.24551884135923008,0.1146148627645401,0.38461960167319426,10.5,-0.4870342111585968,-0.4357270360581336,17.5
S,8,3.0,0.2339891205442721,0.24969378154594823,0.1485941270612076,0.35776990715389045,39.0,-0.4787589300726488,-0.4525222846530609,34.5
