H,窗內t1判開訊號,進模擬（xpos≥0）,剔除（出場超出資料尾或碰壞根）,其中出場超出資料尾
60,1867,1854,13,0
90,1867,1849,18,0
100,1867,1847,20,0
110,1867,1846,21,0
120,1867,1844,23,0
130,1867,1843,24,0
140,1867,1842,25,0
150,1867,1840,27,0
