# commit=e17813316 run=2026-09-15 23:07 (Asia/Taipei) prereg=backtest/PREREGP2.md(sha bef83cb7ba0b78e4) seed0=12000 
pair,N,H,perms,seeds_per_perm,hw_mdd,hw_cagr,band_mdd_lo,band_mdd_hi
乙−甲,8,H120,20,30,0.0653579400375045,0.11158500636879541,-0.07303865687089536,0.057677223204113656
乙−丙,8,H120,20,30,0.0653579400375045,0.11158500636879541,-0.07303865687089536,0.057677223204113656
丙−甲,8,H120,20,30,0.0,0.0,0.0,0.0
