# commit=e17813316 run=2026-09-15 23:07 (Asia/Taipei) prereg=backtest/PREREGP2.md(sha bef83cb7ba0b78e4) seed0=12000 
N,H,pair,d_mdd,d_mdd_lo,d_mdd_hi,d_cagr,d_cagr_lo,d_cagr_hi,overlap_med,n_seeds
5,H60,乙−甲,0.014287313742759072,-0.002050509620202756,0.04140929125920316,-0.005749488126546631,-0.01718726636258521,0.013717312246960711,0.32954410347867086,200
5,H60,乙−丙,0.014287313742759072,-0.002050509620202756,0.04140929125920316,-0.005749488126546631,-0.01718726636258521,0.013717312246960711,0.32954410347867086,200
5,H60,丙−甲,0.0,0.0,0.0,0.0,0.0,0.0,0.32954410347867086,200
5,H120,乙−甲,-0.03717458716966732,-0.04266306234446585,-0.030291328382832605,0.03602670416769371,0.023890565370877193,0.04588484306996887,0.28437712342357035,200
5,H120,乙−丙,-0.03717458716966732,-0.04266306234446585,-0.030291328382832605,0.03602670416769371,0.023890565370877193,0.04588484306996887,0.28437712342357035,200
5,H120,丙−甲,0.0,0.0,0.0,0.0,0.0,0.0,0.28437712342357035,200
8,H60,乙−甲,0.05136865131702237,0.044427643284217874,0.05909487661311561,0.042587358042857404,0.03705240685820543,0.049544015189095014,0.3178181829348353,200
8,H60,乙−丙,0.05136865131702237,0.044427643284217874,0.05909487661311561,0.042587358042857404,0.03705240685820543,0.049544015189095014,0.3178181829348353,200
8,H60,丙−甲,0.0,0.0,0.0,0.0,0.0,0.0,0.3178181829348353,200
8,H120,乙−甲,-0.005835565177399693,-0.011274474306433163,-0.002399332904547441,0.1572563452328528,0.14893648112516886,0.16190560072065754,0.23521098697737625,200
8,H120,乙−丙,-0.005835565177399693,-0.011274474306433163,-0.002399332904547441,0.1572563452328528,0.14893648112516886,0.16190560072065754,0.23521098697737625,200
8,H120,丙−甲,0.0,0.0,0.0,0.0,0.0,0.0,0.23521098697737625,200
10,H60,乙−甲,0.021856121075575385,0.018056533257505253,0.031031919820558418,0.0770642947860195,0.07099189013919756,0.08538967900125127,0.2994709352307579,200
10,H60,乙−丙,0.021856121075575385,0.018056533257505253,0.031031919820558418,0.0770642947860195,0.07099189013919756,0.08538967900125127,0.2994709352307579,200
10,H60,丙−甲,0.0,0.0,0.0,0.0,0.0,0.0,0.2994709352307579,200
10,H120,乙−甲,-0.047358204404287424,-0.05221743426113301,-0.039075524285424934,0.12755772577657765,0.12056812993995637,0.13406974458927268,0.22537837947634337,200
10,H120,乙−丙,-0.047358204404287424,-0.05221743426113301,-0.039075524285424934,0.12755772577657765,0.12056812993995637,0.13406974458927268,0.22537837947634337,200
10,H120,丙−甲,0.0,0.0,0.0,0.0,0.0,0.0,0.22537837947634337,200
