# commit=e17813316 run=2026-09-15 23:07 (Asia/Taipei) prereg=backtest/PREREGP2.md(sha bef83cb7ba0b78e4) seed0=12000 
control,N,H,med_seed,cap_total,signals_total,trigger_rate,months_with_cap,cap_per_month_med
甲,5,H60,12067,197,493,0.3995943204868154,53,1.0
丙,5,H60,12067,197,493,0.3995943204868154,53,1.0
甲,5,H120,12111,114,256,0.4453125,32,0.0
丙,5,H120,12111,114,256,0.4453125,32,0.0
甲,8,H60,12085,637,1049,0.6072449952335558,87,4.0
丙,8,H60,12085,637,1049,0.6072449952335558,87,4.0
甲,8,H120,12045,248,465,0.5333333333333333,59,2.0
丙,8,H120,12045,248,465,0.5333333333333333,59,2.0
甲,10,H60,12056,887,1344,0.6599702380952381,99,6.0
丙,10,H60,12056,887,1344,0.6599702380952381,99,6.0
甲,10,H120,12165,440,699,0.6294706723891274,80,3.0
丙,10,H120,12165,440,699,0.6294706723891274,80,3.0
