# commit=e17813316 run=2026-09-15 23:07 (Asia/Taipei) prereg=backtest/PREREGP2.md(sha bef83cb7ba0b78e4) seed0=12000 
control,N,rule,seed,cagr,mdd,slot,m,n_cap,n_in,first,end,set
甲,5,H60,12000,0.13737480150394843,-0.5010427160140325,0.9181701581872596,182,221,182,511,2850,AND
甲,5,H60,12001,0.2733413247775953,-0.39342903234391613,0.9181701581872596,182,220,182,511,2850,AND
甲,5,H60,12002,0.1942875673093607,-0.58866153876839,0.9181701581872596,182,227,182,511,2850,AND
甲,5,H60,12003,0.1752192653919229,-0.5520412960612875,0.9181701581872596,182,218,182,511,2850,AND
甲,5,H60,12004,0.1273086200218363,-0.5003092887425413,0.9181701581872596,182,220,182,511,2850,AND
甲,5,H60,12005,0.3054292914645158,-0.5535403683372944,0.9181701581872596,182,203,182,511,2850,AND
甲,5,H60,12006,0.2151763685245729,-0.6634351432610636,0.9181701581872596,182,220,182,511,2850,AND
甲,5,H60,12007,0.2512369664888152,-0.5048237718029506,0.9181701581872596,182,231,182,511,2850,AND
甲,5,H60,12008,0.24045940353593465,-0.6042623939391919,0.9181701581872596,182,212,182,511,2850,AND
甲,5,H60,12009,0.23503164292037804,-0.5573388230536989,0.923300555793074,183,201,183,511,2850,AND
甲,5,H60,12010,0.2078820452083454,-0.537488013348829,0.9181701581872596,182,203,182,511,2850,AND
甲,5,H60,12011,0.22255098213203217,-0.5557493056033915,0.9181701581872596,182,203,182,511,2850,AND
甲,5,H60,12012,0.13734749730134244,-0.4695650352664009,0.9232150491663104,183,216,183,511,2850,AND
甲,5,H60,12013,0.3013298375378226,-0.5576861138072329,0.9131252672082086,181,219,181,511,2850,AND
甲,5,H60,12014,0.20087258905631566,-0.5506450740444822,0.9181701581872596,182,209,182,511,2850,AND
甲,5,H60,12015,0.2017656409699149,-0.5797824297132073,0.9181701581872596,182,200,182,511,2850,AND
甲,5,H60,12016,0.2578501080716489,-0.3812188646583504,0.9181701581872596,182,225,182,511,2850,AND
甲,5,H60,12017,0.2646349029299955,-0.4978932477899571,0.9181701581872596,182,198,182,511,2850,AND
甲,5,H60,12018,0.25165640676501244,-0.4650215584741096,0.9181701581872596,182,227,182,511,2850,AND
甲,5,H60,12019,0.2280067522407765,-0.44950408294801353,0.9181701581872596,182,229,182,511,2850,AND
甲,5,H60,12020,0.1703039552766208,-0.4855152464155559,0.9131252672082086,181,255,181,511,2850,AND
甲,5,H60,12021,0.20307400711530255,-0.6264369505924916,0.9181701581872596,182,200,182,511,2850,AND
甲,5,H60,12022,0.19176874698175395,-0.49655179293605417,0.9131252672082086,181,249,181,511,2850,AND
甲,5,H60,12023,0.24775328114926998,-0.49501013597875493,0.9181701581872596,182,211,182,511,2850,AND
甲,5,H60,12024,0.12136112225523887,-0.5105226017431904,0.9181701581872596,182,214,182,511,2850,AND
甲,5,H60,12025,0.1810510611705085,-0.5117498779734139,0.9131252672082086,181,232,181,511,2850,AND
甲,5,H60,12026,0.24311031572943298,-0.5139357236516879,0.9181701581872596,182,209,182,511,2850,AND
甲,5,H60,12027,0.12479304264370672,-0.4615758857391818,0.9232150491663104,183,214,183,511,2850,AND
甲,5,H60,12028,0.10353416646466496,-0.5630915263672068,0.9181701581872596,182,223,182,511,2850,AND
甲,5,H60,12029,0.27125376310220806,-0.4623830390921361,0.9232150491663104,183,204,183,511,2850,AND
甲,5,H60,12030,0.24014800694873006,-0.5082640138750032,0.9181701581872596,182,239,182,511,2850,AND
甲,5,H60,12031,0.10488877523576545,-0.5749411320025621,0.9181701581872596,182,228,182,511,2850,AND
甲,5,H60,12032,0.29852664025474174,-0.438704505062717,0.9181701581872596,182,218,182,511,2850,AND
甲,5,H60,12033,0.09822610850757729,-0.5769372034334593,0.9181701581872596,182,207,182,511,2850,AND
甲,5,H60,12034,0.26035351880337276,-0.43711616962412214,0.9181701581872596,182,216,182,511,2850,AND
甲,5,H60,12035,0.14259777531428997,-0.6001717089386163,0.9181701581872596,182,217,182,511,2850,AND
甲,5,H60,12036,0.2569812498728532,-0.49494544370313037,0.9131252672082086,181,225,181,511,2850,AND
甲,5,H60,12037,0.18982373997430568,-0.6113314793953155,0.9181701581872596,182,210,182,511,2850,AND
甲,5,H60,12038,0.19177838681171222,-0.6431335738278849,0.9181701581872596,182,198,182,511,2850,AND
甲,5,H60,12039,0.2619906914213921,-0.49285468522609155,0.9181701581872596,182,199,182,511,2850,AND
甲,5,H60,12040,0.2533429455091307,-0.48834011953729733,0.9131252672082086,181,250,181,511,2850,AND
甲,5,H60,12041,0.15251975180709243,-0.47637046605960104,0.9131252672082086,181,244,181,511,2850,AND
甲,5,H60,12042,0.25555032257254684,-0.5756351190710899,0.923300555793074,183,190,183,511,2850,AND
甲,5,H60,12043,0.18965921094603932,-0.5585367443536099,0.9181701581872596,182,234,182,511,2850,AND
甲,5,H60,12044,0.28766107479190417,-0.4880305552358169,0.9131252672082086,181,215,181,511,2850,AND
甲,5,H60,12045,0.23387129969995324,-0.5553238462761462,0.9181701581872596,182,212,182,511,2850,AND
甲,5,H60,12046,0.22787863785446083,-0.4615338866132706,0.9181701581872596,182,244,182,511,2850,AND
甲,5,H60,12047,0.15565664857676742,-0.5328168673643442,0.9232150491663104,183,204,183,511,2850,AND
甲,5,H60,12048,0.2667571483724476,-0.49313223419359553,0.9181701581872596,182,213,182,511,2850,AND
甲,5,H60,12049,0.25809732226056603,-0.5121456728369327,0.9181701581872596,182,194,182,511,2850,AND
甲,5,H60,12050,0.141186876339904,-0.49765009615018635,0.9181701581872596,182,229,182,511,2850,AND
甲,5,H60,12051,0.22194817463034577,-0.5607886987118595,0.9131252672082086,181,234,181,511,2850,AND
甲,5,H60,12052,0.2847135179899063,-0.525583722261591,0.9181701581872596,182,193,182,511,2850,AND
甲,5,H60,12053,0.2615217841698523,-0.4855158042270303,0.9181701581872596,182,206,182,511,2850,AND
甲,5,H60,12054,0.27812119396367563,-0.46974262253610927,0.9181701581872596,182,207,182,511,2850,AND
甲,5,H60,12055,0.32568398131333454,-0.560791169971104,0.9131252672082086,181,224,181,511,2850,AND
甲,5,H60,12056,0.354292052491308,-0.4958212136472466,0.9181701581872596,182,221,182,511,2850,AND
甲,5,H60,12057,0.11900576294282295,-0.5148468821193473,0.9181701581872596,182,229,182,511,2850,AND
甲,5,H60,12058,0.1483454141817715,-0.49694583378171986,0.9181701581872596,182,218,182,511,2850,AND
甲,5,H60,12059,0.22731181874445294,-0.5328404827628783,0.9181701581872596,182,198,182,511,2850,AND
甲,5,H60,12060,0.3275267185107853,-0.4922977669380085,0.9131252672082086,181,217,181,511,2850,AND
甲,5,H60,12061,0.28442140393630133,-0.4880303746877126,0.9131252672082086,181,226,181,511,2850,AND
甲,5,H60,12062,0.26499555368774197,-0.5051744728532408,0.923300555793074,183,206,183,511,2850,AND
甲,5,H60,12063,0.1413195215535592,-0.4350586618002059,0.9181701581872596,182,227,182,511,2850,AND
甲,5,H60,12064,0.1144892985984769,-0.5657978144712571,0.9181701581872596,182,233,182,511,2850,AND
甲,5,H60,12065,0.24316468206956499,-0.48834136952710305,0.9131252672082086,181,255,181,511,2850,AND
甲,5,H60,12066,0.21972998737937255,-0.5415109213387128,0.9181701581872596,182,204,182,511,2850,AND
甲,5,H60,12067,0.2945761657983701,-0.5036489686915876,0.9181701581872596,182,197,182,511,2850,AND
甲,5,H60,12068,0.33465856450651077,-0.4922907427550938,0.9131252672082086,181,234,181,511,2850,AND
甲,5,H60,12069,0.12351786466765535,-0.5305124927033323,0.9181701581872596,182,223,182,511,2850,AND
甲,5,H60,12070,0.3446124212122701,-0.4957776702075755,0.9131252672082086,181,228,181,511,2850,AND
甲,5,H60,12071,0.11978748871181333,-0.4969553617430127,0.9232150491663104,183,216,183,511,2850,AND
甲,5,H60,12072,0.24548924827633667,-0.4898909683776166,0.9181701581872596,182,220,182,511,2850,AND
甲,5,H60,12073,0.1845372347640859,-0.49115284330882397,0.9181701581872596,182,226,182,511,2850,AND
甲,5,H60,12074,0.12077268330369395,-0.606788828153278,0.923300555793074,183,196,183,511,2850,AND
甲,5,H60,12075,0.252919128087421,-0.5562856798058745,0.9232150491663104,183,205,183,511,2850,AND
甲,5,H60,12076,0.17728648389000878,-0.46505128301797793,0.9181701581872596,182,214,182,511,2850,AND
甲,5,H60,12077,0.18485639408623888,-0.5598617425177841,0.9131252672082086,181,237,181,511,2850,AND
甲,5,H60,12078,0.25619982313187983,-0.48158662774320327,0.9181701581872596,182,229,182,511,2850,AND
甲,5,H60,12079,0.29849599564601514,-0.4630007857835012,0.9232150491663104,183,206,183,511,2850,AND
甲,5,H60,12080,0.08673827312408111,-0.6019726960629442,0.9232150491663104,183,216,183,511,2850,AND
甲,5,H60,12081,0.19987921495103556,-0.5413589190563755,0.9181701581872596,182,207,182,511,2850,AND
甲,5,H60,12082,0.17321629499884383,-0.5898653939013888,0.9181701581872596,182,207,182,511,2850,AND
甲,5,H60,12083,0.16047773747169947,-0.5036137716790313,0.9131252672082086,181,237,181,511,2850,AND
甲,5,H60,12084,0.2711722719598595,-0.49317522195924746,0.9181701581872596,182,237,182,511,2850,AND
甲,5,H60,12085,0.15171343232110646,-0.5892716833373018,0.9181701581872596,182,208,182,511,2850,AND
甲,5,H60,12086,0.20456897868386625,-0.5240167613451053,0.9131252672082086,181,258,181,511,2850,AND
甲,5,H60,12087,0.16131236312727437,-0.5704189444557377,0.9181701581872596,182,213,182,511,2850,AND
甲,5,H60,12088,0.23999889691474974,-0.5050262465129568,0.9181701581872596,182,219,182,511,2850,AND
甲,5,H60,12089,0.3119759922437033,-0.49721671584206584,0.9181701581872596,182,209,182,511,2850,AND
甲,5,H60,12090,0.18303937945307824,-0.598579714383707,0.9181701581872596,182,200,182,511,2850,AND
甲,5,H60,12091,0.15796061702187192,-0.4734890801460622,0.9181701581872596,182,227,182,511,2850,AND
甲,5,H60,12092,0.31289108230719953,-0.47383674325353703,0.9181701581872596,182,223,182,511,2850,AND
甲,5,H60,12093,0.17563436334672788,-0.4647275264720198,0.9181701581872596,182,210,182,511,2850,AND
甲,5,H60,12094,0.20910324874123298,-0.5608552900730629,0.9181701581872596,182,203,182,511,2850,AND
甲,5,H60,12095,0.2750508236220166,-0.4931392315371477,0.9131252672082086,181,235,181,511,2850,AND
甲,5,H60,12096,0.17369082074128728,-0.6404364726696009,0.9181701581872596,182,220,182,511,2850,AND
甲,5,H60,12097,0.21780739799467042,-0.5421341312336089,0.9181701581872596,182,206,182,511,2850,AND
甲,5,H60,12098,0.2565064763400504,-0.5052083284485736,0.9181701581872596,182,228,182,511,2850,AND
甲,5,H60,12099,0.23742629535630178,-0.478172129506178,0.9181701581872596,182,222,182,511,2850,AND
甲,5,H60,12100,0.2612752326821044,-0.5536878976872558,0.9131252672082086,181,207,181,511,2850,AND
甲,5,H60,12101,0.25013102574963786,-0.5586282902964997,0.9131252672082086,181,221,181,511,2850,AND
甲,5,H60,12102,0.25355217308145717,-0.4931311266153765,0.9181701581872596,182,236,182,511,2850,AND
甲,5,H60,12103,0.17839520071780868,-0.5313363706007295,0.9181701581872596,182,227,182,511,2850,AND
甲,5,H60,12104,0.2184152761275986,-0.5550430283977924,0.9181701581872596,182,210,182,511,2850,AND
甲,5,H60,12105,0.13317130766820973,-0.5551005305825816,0.9181701581872596,182,222,182,511,2850,AND
甲,5,H60,12106,0.227280299724399,-0.5259363752739111,0.9232150491663104,183,197,183,511,2850,AND
甲,5,H60,12107,0.3106545048640448,-0.48803330454793536,0.9131252672082086,181,226,181,511,2850,AND
甲,5,H60,12108,0.2073557665098782,-0.5565777418231674,0.9181701581872596,182,231,182,511,2850,AND
甲,5,H60,12109,0.1467286869131601,-0.49325445772641136,0.9181701581872596,182,224,182,511,2850,AND
甲,5,H60,12110,0.08866843245799916,-0.6083936107524279,0.9181701581872596,182,211,182,511,2850,AND
甲,5,H60,12111,0.0887409445150611,-0.5259875180362921,0.9232150491663104,183,209,183,511,2850,AND
甲,5,H60,12112,0.1676917588485629,-0.49979657039867514,0.9181701581872596,182,216,182,511,2850,AND
甲,5,H60,12113,0.20688239081379778,-0.40564423190254206,0.9131252672082086,181,244,181,511,2850,AND
甲,5,H60,12114,0.22833539453045937,-0.49102258379166047,0.9232150491663104,183,202,183,511,2850,AND
甲,5,H60,12115,0.13527928985466975,-0.6410455068553534,0.9181701581872596,182,219,182,511,2850,AND
甲,5,H60,12116,0.24230604473244255,-0.6013498984422869,0.9181701581872596,182,210,182,511,2850,AND
甲,5,H60,12117,0.12300073145930157,-0.5808420515514686,0.9181701581872596,182,218,182,511,2850,AND
甲,5,H60,12118,0.21946168712116054,-0.547722247682376,0.923300555793074,183,194,183,511,2850,AND
甲,5,H60,12119,0.2699282132645353,-0.5716573565279003,0.923300555793074,183,216,183,511,2850,AND
甲,5,H60,12120,0.268162745519297,-0.4855949190933807,0.9181701581872596,182,230,182,511,2850,AND
甲,5,H60,12121,0.28739461559450974,-0.5036143718120589,0.9131252672082086,181,226,181,511,2850,AND
甲,5,H60,12122,0.3566545514732564,-0.5607911720832708,0.9131252672082086,181,221,181,511,2850,AND
甲,5,H60,12123,0.11377415103073374,-0.5710186177369099,0.9181701581872596,182,227,182,511,2850,AND
甲,5,H60,12124,0.2906200425940608,-0.4914981587459346,0.9131252672082086,181,233,181,511,2850,AND
甲,5,H60,12125,0.1353700370887021,-0.6045249785945677,0.9232150491663104,183,215,183,511,2850,AND
甲,5,H60,12126,0.26015228556119374,-0.5527665245473905,0.9131252672082086,181,229,181,511,2850,AND
甲,5,H60,12127,0.29639645071173826,-0.5015243769977848,0.9181701581872596,182,202,182,511,2850,AND
甲,5,H60,12128,0.20131321676784864,-0.6344229131289889,0.9181701581872596,182,197,182,511,2850,AND
甲,5,H60,12129,0.11854098655555356,-0.5526045634585418,0.9181701581872596,182,221,182,511,2850,AND
甲,5,H60,12130,0.22118068645124733,-0.48655554824717545,0.9181701581872596,182,211,182,511,2850,AND
甲,5,H60,12131,0.20436876652495428,-0.46451455289273946,0.9181701581872596,182,233,182,511,2850,AND
甲,5,H60,12132,0.2439856722972087,-0.46236951944178056,0.9181701581872596,182,246,182,511,2850,AND
甲,5,H60,12133,0.25740318023543285,-0.5140227154387746,0.9181701581872596,182,224,182,511,2850,AND
