coin,N,E,MMR,窗首,窗尾,期數,強平,強平日,年化,回落,BH年化,BH回落,曝險,進出場,資金費現金流總和（相對初始 1）,資金費結算筆數（在場期間）,判定格,嚴格優_年化,嚴格優_回落,L,CI年化,CI回落,CI回落_2L,出口,出口理由,描述_C1現貨規則,描述_槓桿買進持有,假訊號狀態,假訊號_年化百分位,假訊號_回落百分位,假訊號_強平組數
BTC,200,3.0,0.005,2020-01-01,2026-08-31,2434,False,,0.22080582846271923,-0.9361897131777671,0.43137778688437156,-0.7662925431645935,0.5784716516023007,57,-3.5407474586996757,4224,未過,False,False,2.0,"(-0.7769717445701168, 0.6091826325659581)","(-0.033477656923411286, 0.4142427716462087)","(-0.022370958876082547, 0.414184256525505)",判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,"[0.344210719814503, -0.6403817163862109]","[-1.0, -1.0, True]",,,,
BTC,200,3.0,0.01,2020-01-01,2026-08-31,2434,False,,0.22080582846271923,-0.9361897131777671,0.43137778688437156,-0.7662925431645935,0.5784716516023007,57,-3.5407474586996757,4224,未過,False,False,2.0,"(-0.7769717445701168, 0.6091826325659581)","(-0.033477656923411286, 0.4142427716462087)","(-0.022370958876082547, 0.414184256525505)",判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,"[0.344210719814503, -0.6403817163862109]","[-1.0, -1.0, True]",,,,
BTC,200,3.0,0.02,2020-01-01,2026-08-31,2434,False,,0.22080582846271923,-0.9361897131777671,0.43137778688437156,-0.7662925431645935,0.5784716516023007,57,-3.5407474586996757,4224,未過,False,False,2.0,"(-0.7769717445701168, 0.6091826325659581)","(-0.033477656923411286, 0.4142427716462087)","(-0.022370958876082547, 0.414184256525505)",判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,"[0.344210719814503, -0.6403817163862109]","[-1.0, -1.0, True]",可得,97.6,97.8,975.0
BTC,50,3.0,0.02,2020-01-01,2026-08-31,2434,False,,0.8026169227012532,-0.9324164034444449,0.43137778688437156,-0.7662925431645935,0.5456039441248973,131,-24.80046320179957,3984,未過,True,False,,,,,,,,,,,,
BTC,200,2.0,0.02,2020-01-01,2026-08-31,2434,False,,0.24732740246053653,-0.8727701595075783,0.43137778688437156,-0.7662925431645935,0.5784716516023007,57,-3.299116691091935,4224,未過,False,False,,,,,,,,,,,,
ETH,200,3.0,0.005,2020-01-01,2026-08-31,2434,True,2020-03-12,-1.0,-1.0,0.5539782565371827,-0.7930253453633336,0.5661462612982745,41,-0.2800119922188532,4134,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[0.5298181901937549, -0.6691812972282273]","[-1.0, -1.0, True]",,,,
ETH,200,3.0,0.01,2020-01-01,2026-08-31,2434,True,2020-03-12,-1.0,-1.0,0.5539782565371827,-0.7930253453633336,0.5661462612982745,41,-0.2800119922188532,4134,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[0.5298181901937549, -0.6691812972282273]","[-1.0, -1.0, True]",,,,
ETH,200,3.0,0.02,2020-01-01,2026-08-31,2434,True,2020-03-12,-1.0,-1.0,0.5539782565371827,-0.7930253453633336,0.5661462612982745,41,-0.2800119922188532,4134,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[0.5298181901937549, -0.6691812972282273]","[-1.0, -1.0, True]",可得,0.0,0.0,994.0
ETH,50,3.0,0.02,2020-01-01,2026-08-31,2434,False,,1.0583594997233696,-0.9094889448834211,0.5539782565371827,-0.7930253453633336,0.5456039441248973,127,-40.961523070885,3984,未過,True,False,,,,,,,,,,,,
ETH,200,2.0,0.02,2020-01-01,2026-08-31,2434,True,2020-03-12,-1.0,-1.0,0.5539782565371827,-0.7930253453633336,0.5661462612982745,41,-0.1866746614792355,4134,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,,,,,,
BNB,200,3.0,0.005,2020-02-10,2026-08-31,2394,False,,-0.02030795642940053,-0.9656822165051328,0.6580168264061774,-0.7086445315388601,0.589390142021721,99,-0.13365482738269488,4233,未過,False,False,1.0,"(-1.4795798524953168, 0.23091429399177338)","(0.02405615894800477, 0.3860503154046996)","(0.025064955745076993, 0.401598016319896)",判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,"[0.39272750940131407, -0.7544697685532374]","[-1.0, -1.0, True]",,,,
BNB,200,3.0,0.01,2020-02-10,2026-08-31,2394,False,,-0.02030795642940053,-0.9656822165051328,0.6580168264061774,-0.7086445315388601,0.589390142021721,99,-0.13365482738269488,4233,未過,False,False,1.0,"(-1.4795798524953168, 0.23091429399177338)","(0.02405615894800477, 0.3860503154046996)","(0.025064955745076993, 0.401598016319896)",判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,"[0.39272750940131407, -0.7544697685532374]","[-1.0, -1.0, True]",,,,
BNB,200,3.0,0.02,2020-02-10,2026-08-31,2394,True,2020-02-26,-1.0,-1.0,0.6580168264061774,-0.7086445315388601,0.589390142021721,99,-0.10264353290449962,4233,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[0.39272750940131407, -0.7544697685532374]","[-1.0, -1.0, True]",可得,0.0,0.0,978.0
BNB,50,3.0,0.02,2020-02-10,2026-08-31,2394,True,2020-02-26,-1.0,-1.0,0.6580168264061774,-0.7086445315388601,0.5572263993316625,169,-0.10264353290449962,4002,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,,,,,,
BNB,200,2.0,0.02,2020-02-10,2026-08-31,2394,False,,0.26597214120744894,-0.8499344746707144,0.6580168264061774,-0.7086445315388601,0.589390142021721,99,-0.48367185295738196,4233,未過,False,False,,,,,,,,,,,,
SOL,200,3.0,0.005,2021-02-26,2026-08-31,2012,False,,0.8177326505883662,-0.9015227265793407,0.44441521698869724,-0.9626992725584274,0.49254473161033796,43,-19.864882752727922,2973,過,True,True,2.0,"(-0.8118231800662493, 3.318110607235435)","(-0.11785427124040652, 0.2351155410411096)","(-0.12369689107739593, 0.22191707098340244)",出口①,CAGR CI 含 0 ⇒ 測不出；MDD CI 含 0 ⇒ 測不出,"[0.8741864594997315, -0.6601455294444698]","[-1.0, -1.0, True]",,,,
SOL,200,3.0,0.01,2021-02-26,2026-08-31,2012,False,,0.8177326505883662,-0.9015227265793407,0.44441521698869724,-0.9626992725584274,0.49254473161033796,43,-19.864882752727922,2973,過,True,True,2.0,"(-0.8118231800662493, 3.318110607235435)","(-0.11785427124040652, 0.2351155410411096)","(-0.12369689107739593, 0.22191707098340244)",出口①,CAGR CI 含 0 ⇒ 測不出；MDD CI 含 0 ⇒ 測不出,"[0.8741864594997315, -0.6601455294444698]","[-1.0, -1.0, True]",,,,
