H,窗內t1判開訊號,進模擬（xpos≥0）,剔除（出場超出資料尾或碰壞根）,其中出場超出資料尾
30,1867,1860,7,0
40,1867,1857,10,0
50,1867,1856,11,0
60,1867,1854,13,0
70,1867,1852,15,0
80,1867,1850,17,0
90,1867,1849,18,0
