H,原件,年化中位,回落中位,比值,年化波動中位,標籤（對0050）,深淺註,年化p10,年化p90,回落p10,回落p90,對H60_年化中位差pp,對H60_回落中位差pp,對H60_比值差,同顆種子_年化高於H60,同顆種子_回落淺於H60,同顆種子_兩項皆好,同顆種子_兩項皆差,trades中位,種子數
30,False,0.2326404744838022,-0.2903638962986355,0.8012031710875462,0.2268204942940426,合格,,0.2326404744838022,0.2326404744838022,-0.2903638962986355,-0.2903638962986355,-8.144670507931618,3.095046383165961,-0.17630427500279944,0,200,0,0,1096.0,200
40,False,0.3203267961054752,-0.34259935834644045,0.9349894805744412,0.25272982178066394,合格,回落比 0050 深 0.30 點、報酬多 12.76 點,0.3203267961054752,0.3203267961054752,-0.34259935834644045,-0.34259935834644045,0.623961654235683,-2.1284998216145326,-0.04251796551590448,200,0,0,0,919.0,200
50,False,0.3111052414921638,-0.36919441751470444,0.842659657712113,0.2595394504848895,合格,回落比 0050 深 2.96 點、報酬多 11.83 點,0.3111052414921638,0.3111052414921638,-0.36919441751470444,-0.36919441751470444,-0.2981938070954593,-4.788005738440932,-0.13484778837823264,0,0,0,200,766.0,200
60,True,0.3140871795631184,-0.32131436013029513,0.9775074460903457,0.2622981464085703,合格,,0.3140871795631184,0.3140871795631184,-0.32131436013029513,-0.32131436013029513,0.0,0.0,0.0,0,0,0,0,659.0,200
70,False,0.28066846831779557,-0.41343959523508256,0.6788620914699932,0.26044391226958136,合格,回落比 0050 深 7.39 點、報酬多 8.79 點,0.28066846831779557,0.28066846831779557,-0.41343959523508256,-0.41343959523508256,-3.3418711245322807,-9.212523510478743,-0.29864535462035247,0,0,0,200,582.0,200
80,False,0.2799358857173766,-0.4155798915453146,0.6736030578295017,0.27348841819045855,合格,回落比 0050 深 7.60 點、報酬多 8.72 點,0.2799358857173766,0.2799358857173766,-0.4155798915453146,-0.4155798915453146,-3.415129384574178,-9.426553141501948,-0.303904388260844,0,0,0,200,516.0,200
90,False,0.21056459980821418,-0.45330752193895796,0.4645071824697598,0.2711107866845166,另列,,0.21056459980821418,0.21056459980821418,-0.45330752193895796,-0.45330752193895796,-10.35225797549042,-13.199316180866283,-0.5130002636205859,0,0,0,200,466.0,200
