族,檔數,p10,p25,中位,p75,p90
新進 453（沒過閘門）,453,287046.75,615297.8125,1365279.75,3144744.6375,8186882.25
"現行池子 1,586",1586,2306856.25,5309823.575,16389819.6,65521982.431250006,240348531.5875
├ 其中 liq 完全沒過,401,261984.375,567604.1937500001,1176811.25,2313478.41875,4861889.225
├ 其中 bars 完全沒過,43,1489361.5,2706816.25,26563114.7375,108717184.375,313478055.6400001
└ 其中 inst 完全沒過,81,108891.525,199115.8125,461458.125,1321480.3125,2067128.125
