變更股票面額恢復買賣參考價
恢復買賣日期:108/09/09至115/09/10
恢復買賣日期,證券代號,證券名稱,最後交易日之收盤價格,恢復買賣開始參考價,漲停價格,跌停價格,開始交易基準價
"1080909","6548","長科*           ","312.00","31.20","34.30","28.10","31.20"
"1110829","6613","朋億*           ","169.00","84.50","92.90","76.10","84.50"
"1110905","6548","長科*           ","90.60","36.24","39.85","32.65","36.25"
"1110919","5536","聖暉*           ","206.00","103.00","113.00","92.70","103.00"
"1111212","3093","港建*           ","109.50","27.38","30.10","24.65","27.40"
"1130909","6763","綠界科技*       ","491.00","49.10","54.00","44.20","49.10"
"1130909","8932","智通*           ","169.50","84.75","93.20","76.30","84.80"
"1131209","5278","尚凡*           ","319.50","31.95","35.10","28.80","31.95"
"1140331","5314","世紀*           ","1390.00","69.50","76.40","62.60","69.50"
"1150309","8932","智通*           ","199.50","99.75","109.50","89.80","99.80"
"1150413","8937","合騏*           ","145.50","36.38","40.00","32.75","36.40"
"1150420","3086","華義*           ","325.00","32.50","35.75","29.25","32.50"
"1150810","5904","寶雅*           ","720.00","72.00","79.20","64.80","72.00"
"1150831","4747","強生*           ","56.50","28.25","31.05","25.45","28.25"
"共14筆"
