date,stock_id,pre_close,ref_price,value,kind,open_base,source
2013-07-11,3390,45.9,41.93,3.97,除息,,exDailyQ
2013-07-11,3522,14.75,14.25,0.50,除息,,exDailyQ
2013-07-11,3577,27.45,25.95,1.50,除息,,exDailyQ
2013-07-11,3594,22.3,21.42,0.88,除息,,exDailyQ
2013-07-11,3631,25.3,24.3,1.00,除息,,exDailyQ
2013-07-11,4121,20.15,19.95,0.20,除息,,exDailyQ
2013-07-11,4139,98,78.05,19.95,除權,,exDailyQ
2013-07-11,4430,43.1,41.67,1.43,除息,,exDailyQ
2013-07-11,4745,79.3,76.3,3.00,除息,,exDailyQ
2013-07-11,5015,13.8,13.6,0.20,除息,,exDailyQ
2013-07-11,5508,77.6,66.83,10.77,除息,,exDailyQ
2013-07-11,5601,27,26.64,0.36,除息,,exDailyQ
2013-07-11,6194,20.3,19.1,1.20,除息,,exDailyQ
2013-07-11,8240,32.65,31.15,1.50,除息,,exDailyQ
2013-07-11,8435,51.1,48.1,3.00,除息,,exDailyQ
