date,stock_id,pre_close,ref_price,value,kind,open_base,source
2023-08-25,1815,13.4,13.04,0.360778,除權息,,exDailyQ
2023-08-25,3218,359,333.02,25.981132,除權息,,exDailyQ
2023-08-25,3492,19,18,1.000000,除息,,exDailyQ
2023-08-25,3693,554,548,6.000000,除息,,exDailyQ
2023-08-25,4754,48.8,43.64,5.163635,除權息,,exDailyQ
2023-08-25,4908,54.1,51.1,3.000000,除息,,exDailyQ
2023-08-25,5013,36.35,34.75,1.600000,除息,,exDailyQ
2023-08-25,6261,62.4,57.4,5.000000,除息,,exDailyQ
2023-08-25,8071,15.7,15.2,0.500000,除息,,exDailyQ
2023-08-25,8289,37.45,33.95,3.500000,除息,,exDailyQ
