date,stock_id,pre_close,ref_price,value,kind,open_base,source
2021-01-19,00687B,45.59,45.4,0.190000,除息,,exDailyQ
2021-01-19,00694B,37.76,37.64,0.118000,除息,,exDailyQ
2021-01-19,00695B,38.51,38.37,0.139000,除息,,exDailyQ
2021-01-19,00696B,45.6,45.31,0.293000,除息,,exDailyQ
2021-01-19,00719B,30.23,30.21,0.020000,除息,,exDailyQ
2021-01-19,00720B,45.58,45.17,0.410000,除息,,exDailyQ
2021-01-19,00722B,47.86,47.45,0.411000,除息,,exDailyQ
2021-01-19,00723B,44.49,44.15,0.337000,除息,,exDailyQ
2021-01-19,00724B,43.82,43.43,0.386000,除息,,exDailyQ
2021-01-19,00725B,44.95,44.53,0.420000,除息,,exDailyQ
2021-01-19,00726B,43.8,43.43,0.370000,除息,,exDailyQ
2021-01-19,00727B,38.29,37.78,0.510000,除息,,exDailyQ
2021-01-19,00740B,48.82,48.31,0.506000,除息,,exDailyQ
2021-01-19,00741B,37.75,37.27,0.479000,除息,,exDailyQ
2021-01-19,00744B,41.65,40.9,0.750000,除息,,exDailyQ
2021-01-19,00746B,46.1,45.72,0.380000,除息,,exDailyQ
2021-01-19,00749B,45.73,45.31,0.420000,除息,,exDailyQ
2021-01-19,00750B,45.77,45.45,0.325000,除息,,exDailyQ
2021-01-19,00761B,47.89,47.57,0.320000,除息,,exDailyQ
2021-01-19,00772B,46.39,46.26,0.128000,除息,,exDailyQ
2021-01-19,00773B,46.8,46.66,0.138000,除息,,exDailyQ
2021-01-19,00782B,44.2,43.88,0.320000,除息,,exDailyQ
2021-01-19,00784B,38.14,37.84,0.297000,除息,,exDailyQ
2021-01-19,00785B,44.68,44.24,0.443000,除息,,exDailyQ
2021-01-19,00788B,42.55,42.22,0.335000,除息,,exDailyQ
2021-01-19,00848B,38.75,38.4,0.353000,除息,,exDailyQ
2021-01-19,00849B,37.16,36.88,0.281000,除息,,exDailyQ
2021-01-19,00870B,40.11,39.75,0.360000,除息,,exDailyQ
