date,stock_id,pre_close,ref_price,value,kind,open_base,source
2019-06-24,00697B,42.48,42.21,0.27,除息,,exDailyQ
2019-06-24,00751B,46.05,45.46,0.59,除息,,exDailyQ
2019-06-24,3373,17.2,16.7,0.50,除息,,exDailyQ
2019-06-24,3416,55.2,52.6,2.6,息,,finmind
2019-06-24,4420,35.45,33.85,1.60,除息,,exDailyQ
2019-06-24,6024,47.8,44.4,3.4,息,,finmind
2019-06-24,6123,46.65,43.55,3.10,除息,,exDailyQ
2019-06-24,6180,73.4,67.2,6.20,除息,,exDailyQ
2019-06-24,6208,26.65,24.95,1.70,除息,,exDailyQ
2019-06-24,6556,41.5,40.3,1.20,除息,,exDailyQ
2019-06-24,6613,175,160,15.00,除息,,exDailyQ
2019-06-24,8908,45.05,44.15,0.90,除息,,exDailyQ
2019-06-24,8924,38.25,37.05,1.20,除息,,exDailyQ
