date,stock_id,pre_close,ref_price,value,kind,open_base,source
2018-08-23,1336,17.6,17,0.6,除息,,finmind
2018-08-23,2643,31.5,29.5,2.0,除息,,finmind
2018-08-23,3122,16.95,16.75,0.2,除息,,finmind
2018-08-23,3147,21.45,20.21,1.24,除息,,finmind
2018-08-23,3226,52.3,50.3,2.0,除息,,finmind
2018-08-23,3285,23.6,23.14,0.46,除息,,finmind
2018-08-23,3570,50.5,49.22,1.28,除息,,finmind
2018-08-23,4111,25,24.2,0.8,除息,,finmind
2018-08-23,4138,54.3,50.9,3.4,除息,,finmind
2018-08-23,4161,38.3,36.43,1.87,除權,,finmind
2018-08-23,4173,17.7,17.4,0.3,除息,,finmind
2018-08-23,4728,30.5,30.2,0.3,除息,,finmind
2018-08-23,6182,47.1,46.72,0.38,除息,,finmind
2018-08-23,6210,42.4,38.9,3.5,除息,,finmind
2018-08-23,6227,23.35,22.25,1.1,除息,,finmind
2018-08-23,6441,63.8,56.95,6.85,除權息,,finmind
2018-08-23,8043,61.9,61.1,0.8,除息,,finmind
2018-08-23,8087,8.85,8.75,0.1,除息,,finmind
2018-08-23,8354,21.2,18.82,2.38,除權息,,finmind
2018-08-23,8423,23.4,21.81,1.59,除權息,,finmind
2018-08-23,8908,39.2,36.36,2.84,除權,,finmind
