date,stock_id,pre_close,ref_price,value,kind,open_base,source
2014-07-09,1580,172,164.5,7.50,除息,,exDailyQ
2014-07-09,1787,29.7,28.71,0.99,除息,,exDailyQ
2014-07-09,3211,88.2,83.2,5.00,除息,,exDailyQ
2014-07-09,3213,44.95,42.35,2.60,除息,,exDailyQ
2014-07-09,5601,29.1,28.8,0.30,除息,,exDailyQ
2014-07-09,6151,22.4,20.28,2.12,除權息,,exDailyQ
2014-07-09,6265,10.45,10.07,0.38,除息,,exDailyQ
2014-07-09,6609,56.6,55.1,1.50,除息,,exDailyQ
2014-07-09,8409,57.7,56.36,1.34,除權,,exDailyQ
2014-07-09,8938,29.2,28.6,0.60,除息,,exDailyQ
2014-07-09,8942,82.5,80.7,1.80,除息,,exDailyQ
