date,stock_id,pre_close,ref_price,value,kind,open_base,source
2017-07-10,3511,19,18.5,0.5,除權,,finmind
2017-07-10,3672,31.7,28.73,2.97,除權息,,finmind
2017-07-10,4105,99.5,95.7,3.8,除息,,finmind
2017-07-10,5251,33.6,31.6,2.0,除息,,finmind
2017-07-10,5263,248,245.5,2.5,除息,,finmind
2017-07-10,5276,25.5,23.5,2.0,除息,,finmind
2017-07-10,6123,33.8,31.3,2.5,除息,,finmind
2017-07-10,6170,9.5,9.38,0.12,除息,,finmind
2017-07-10,6187,62.7,59.7,3.0,除息,,finmind
2017-07-10,6229,13.6,12.93,0.67,除息,,finmind
2017-07-10,6523,168,161.4,6.6,除息,,finmind
2017-07-10,6542,85.1,78.79,6.31,除權息,,finmind
