date,stock_id,pre_close,ref_price,value,kind,open_base,source
2019-08-22,00758B,71.65,71.01,0.64,除息,,exDailyQ
2019-08-22,00759B,74.05,73.48,0.57,除息,,exDailyQ
2019-08-22,00760B,72.1,71.34,0.76,除息,,exDailyQ
2019-08-22,00769B,63.35,62.74,0.61,除息,,exDailyQ
2019-08-22,00795B,47.81,47.11,0.70,除息,,exDailyQ
2019-08-22,00796B,40.26,40.14,0.12,除息,,exDailyQ
2019-08-22,00797B,43.76,42.94,0.82,除息,,exDailyQ
2019-08-22,1336,15,14.21,0.79,除息,,exDailyQ
2019-08-22,2233,71.1,67.1,4.00,除息,,exDailyQ
2019-08-22,2643,33.8,31.8,2.00,除息,,exDailyQ
2019-08-22,3147,44,42.3,1.70,除息,,exDailyQ
2019-08-22,3434,15,14.7,0.30,除息,,exDailyQ
2019-08-22,3680,73.5,73.25,0.25,除息,,exDailyQ
2019-08-22,4111,25.25,24.65,0.60,除息,,exDailyQ
2019-08-22,4173,17.8,16.76,1.04,除息,,exDailyQ
2019-08-22,4721,72.1,69.3,2.80,除息,,exDailyQ
2019-08-22,5289,129,120.59,8.41,除權息,,exDailyQ
2019-08-22,5523,10.75,10.55,0.20,除息,,exDailyQ
2019-08-22,6114,41,39.5,1.50,除息,,exDailyQ
2019-08-22,6186,25.45,24.45,1.00,除息,,exDailyQ
2019-08-22,6210,41.65,39.05,2.60,除息,,exDailyQ
2019-08-22,6227,24.1,22.6,1.50,除息,,exDailyQ
2019-08-22,6569,205,186.36,18.64,除權,,exDailyQ
2019-08-22,8043,35.55,32.95,2.60,除息,,exDailyQ
