date,stock_id,pre_close,ref_price,value,kind,open_base,source
2026-07-30,2596,30.9,29.4,1.5,除息,,finmind
2026-07-30,2949,59,56.97,2.030996,除息,,finmind
2026-07-30,3485,192,187.5,4.5,除息,,finmind
2026-07-30,4401,14.1,13.5,0.6,除息,,finmind
2026-07-30,4584,39.7,37.7,2.0,除息,,finmind
2026-07-30,5410,35.2,33.13,2.074697,除息,,finmind
2026-07-30,5457,28.65,27.15,1.500203,除息,,finmind
2026-07-30,6180,41.8,40.77,1.025244,除息,,finmind
2026-07-30,6509,42.5,41.11,1.393682,除息,,finmind
2026-07-30,7708,94,88.5,5.5,除息,,finmind
2026-07-30,7810,176.5,171.5,5.0,除息,,finmind
2026-07-30,8054,79,78.95,0.04618,除權,,finmind
2026-07-30,8931,42.2,40.6,1.6,除息,,finmind
