date,stock_id,pre_close,ref_price,value,kind,open_base,source
2026-04-01,00950B,14.24,14.18,0.065000,除息,,exDailyQ
2026-04-01,00959B,9.43,9.38,0.048000,除息,,exDailyQ
2026-04-01,00983B,16.15,16.09,0.064000,除息,,exDailyQ
2026-04-01,00984B,16.51,16.43,0.081000,除息,,exDailyQ
2026-04-01,2065,31.75,30.25,1.500000,除息,,exDailyQ
2026-04-01,4760,196.5,192,4.500000,除息,,exDailyQ
2026-04-01,5278,24.9,24.73,0.166667,除息,,exDailyQ
2026-04-01,6148,34.45,33.22,1.230000,除息,,exDailyQ
2026-04-01,6291,344,338,6.000000,除息,,exDailyQ
2026-04-01,6590,72,69.2,2.800000,除息,,exDailyQ
