date,stock_id,pre_close,ref_price,value,kind,open_base,source
2017-07-04,1264,258,225.45,32.55,除權息,,exDailyQ
2017-07-04,2596,20.95,18.75,2.20,除息,,exDailyQ
2017-07-04,3260,74.8,70.8,4.00,除息,,exDailyQ
2017-07-04,3290,16.65,16.35,0.30,除息,,exDailyQ
2017-07-04,3360,22.15,20.95,1.20,除息,,exDailyQ
2017-07-04,4739,69.9,67.2,2.70,除息,,exDailyQ
2017-07-04,5013,34.05,33.75,0.30,除息,,exDailyQ
2017-07-04,5356,49.85,45.85,4.00,除息,,exDailyQ
2017-07-04,5364,23.1,22.1,1.00,除息,,exDailyQ
2017-07-04,5512,10.25,9.75,0.50,除息,,exDailyQ
2017-07-04,5604,30.8,29,1.80,除息,,exDailyQ
2017-07-04,5703,24.95,24.75,0.20,除息,,exDailyQ
2017-07-04,6238,207,199.51,7.49,除息,,exDailyQ
2017-07-04,6494,53.5,50.5,3.00,除息,,exDailyQ
2017-07-04,6514,50.8,43.91,6.89,除權息,,exDailyQ
2017-07-04,6577,64.5,60.44,4.06,除息,,exDailyQ
2017-07-04,8418,16.5,16.3,0.20,除息,,exDailyQ
2017-07-04,8433,110,103.94,6.06,除息,,exDailyQ
2017-07-04,8923,17,16.1,0.90,除息,,exDailyQ
2017-07-04,8930,14.8,14.1,0.70,除息,,exDailyQ
