date,stock_id,pre_close,ref_price,value,kind,open_base,source
2012-07-17,1586,20,19.5,0.50,除息,,exDailyQ
2012-07-17,3428,25.65,24.17,1.48,除權息,,exDailyQ
2012-07-17,3522,10.25,9.75,0.50,除息,,exDailyQ
2012-07-17,3541,31.8,28.38,3.42,除權息,,exDailyQ
2012-07-17,3548,27.8,27.6,0.20,除息,,exDailyQ
2012-07-17,3609,16.5,15.9,0.60,除息,,exDailyQ
2012-07-17,4401,25.2,23,2.20,除息,,exDailyQ
2012-07-17,4406,6.86,6.36,0.50,除息,,exDailyQ
2012-07-17,5520,22.6,21.25,1.35,除息,,exDailyQ
2012-07-17,6024,26.4,24.1,2.30,除息,,exDailyQ
2012-07-17,6219,19.65,19.06,0.59,除權,,exDailyQ
2012-07-17,8401,19.55,17.5,2.05,除權息,,exDailyQ
