date,stock_id,pre_close,ref_price,reason,open_base,ex_ref_price,limit_up,limit_down
2022-09-19,2368,77.70,85.22,退還股款,85.20,,93.70,76.70
2022-09-19,2603,80.80,187.00,退還股款,187.00,,205.50,168.50
2022-09-19,6289,1.13,2.26,彌補虧損,2.26,,2.48,2.04
