date,stock_id,pre_close,ref_price,reason,open_base,ex_ref_price,limit_up,limit_down
2018-09-17,2349,10.75,14.79,彌補虧損,14.80,,16.25,13.35
2018-09-17,3022,37.10,40.11,退還股款,40.10,,44.10,36.10
