date,stock_id,pre_close,ref_price,reason,open_base,ex_ref_price,limit_up,limit_down
2020-10-26,1315,52.70,71.00,退還股款,71.00,,78.10,63.90
2020-10-26,3545,33.50,43.56,退還股款,43.55,,47.90,39.25
