# commit=76b26e73f run=2026-09-20 12:04 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
variant,hold_bars,type,excess_pp,ci_lo_pp,ci_hi_pp,n_months
正式 持有 H+1 根,121,①營收＋回檔,7.164088698843672,4.128683221154574,10.19949417653277,61
正式 持有 H+1 根,121,②正在噴出,2.6600332786132044,0.7465428890727519,4.5735236681536575,63
正式 持有 H+1 根,121,③純技術＋回檔,-0.15338134528341207,-1.163408530157536,0.8566458395907118,63
正式 持有 H+1 根,121,④死水,-3.826331902923415,-5.4360766927782045,-2.216587113068625,63
敏感度 持有 H+0 根,120,①營收＋回檔,7.201438527018967,4.110552544028128,10.292324510009806,61
敏感度 持有 H+0 根,120,②正在噴出,2.633817726615841,0.7399545540475752,4.527680899184107,63
敏感度 持有 H+0 根,120,③純技術＋回檔,-0.140524480604666,-1.1667337085354175,0.8856847473260855,63
敏感度 持有 H+0 根,120,④死水,-3.815345797529451,-5.440687463518887,-2.1900041315400154,63
