# commit=bd3d8e5cb run=2026-09-15 22:10 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
period,type,kmeans_idx,H,n_months,n_rows,excess_pp,se_pp,ci_lo_pp,ci_hi_pp,win_rate,month_win_rate,p05,p10,p25,p50,p75,p90,p95,abs_mean_pp,abs_mean_net_pp,avg_n_per_month,dropped_cells_lt5,bench_mean_pp,judge
擬合窗／追認格,①營收＋回檔,0,20,47,1467,0.2612287088650575,0.3690858702535909,-0.4621795968319808,0.9846370145620956,0.44648943421949555,0.46808510638297873,-16.12494025780934,-12.492708297472207,-7.430706704487683,-1.341195730290766,5.380550105080525,13.973449191234552,21.59417102562824,1.4459547368666281,0.860954736866628,31.21276595744681,1,1.0242828591600135,非判定格（方向＋，與 H3 一致）
擬合窗／追認格,②正在噴出,3,20,48,4972,0.9369068065790015,0.4074427202884449,0.1383190748136495,1.7354945383443536,0.4418744971842317,0.625,-16.088712789339972,-12.31712228477045,-7.0862775934050495,-1.4000792888351672,5.769418042464956,16.21810684149732,25.24435861532496,1.4967840190840809,0.911784019084081,103.58333333333333,0,1.0242828591600135,非判定格（方向＋，與 H2 一致）
擬合窗／追認格,③純技術＋回檔,2,20,48,4338,-0.08262637216782963,0.19023919903902448,-0.4554952022843176,0.29024245794865833,0.42208390963577685,0.4583333333333333,-15.26899877924133,-12.181389812322854,-7.108558916097037,-1.5285785155786404,4.558624374115906,12.603876169581612,20.371416246657013,0.9089995863024478,0.3239995863024478,90.375,0,1.0242828591600135,非判定格（方向−，與 H4 一致）
擬合窗／追認格,④死水,1,20,48,7249,-0.5124650853248652,0.19012217926132194,-0.8851045566770563,-0.1398256139726743,0.4247482411367085,0.2708333333333333,-12.591192472026602,-9.666250684668253,-5.377143024353947,-1.1749087262863347,3.344459619181784,8.978460680570574,13.77422896084376,0.8024289039219205,0.21742890392192046,151.02083333333334,0,1.0242828591600135,非判定格（方向−，與 H1 一致）
擬合窗／追認格,①營收＋回檔,0,60,47,1467,2.768660130015199,1.021526794820333,0.7664676121673465,4.770852647863052,0.42603953646898435,0.5531914893617021,-27.105348671787592,-22.365316440933544,-13.10883919998909,-3.1071819117620523,11.769606808212977,28.6283890353985,47.03345990350129,5.621868122288599,5.036868122288599,31.21276595744681,1,3.195414217393766,非判定格（方向＋，與 H3 一致）
擬合窗／追認格,②正在噴出,3,60,48,4972,2.1679295688472138,0.7309113714052068,0.7353432808930085,3.6005158568014193,0.43000804505229284,0.6666666666666666,-25.955022936359484,-20.57293900439338,-12.456397497131938,-3.064119315330564,9.522075243515134,26.85271945220189,43.19236706891594,3.8457354817860177,3.2607354817860172,103.58333333333333,0,3.195414217393766,非判定格（方向＋，與 H2 一致）
擬合窗／追認格,③純技術＋回檔,2,60,48,4338,0.0033728282603948576,0.4040536008315997,-0.7885722293695404,0.7953178858903303,0.3978792070078377,0.5,-25.91789703837824,-20.950936371889746,-12.915829068162587,-3.7733246129108675,7.663838801648208,23.52673664227055,37.557437400451896,3.587204904687749,3.002204904687749,90.375,0,3.195414217393766,非判定格（方向＋，與 H4 不一致）
擬合窗／追認格,④死水,1,60,48,7249,-1.4797737640567603,0.3643214153807099,-2.193843738202952,-0.765703789910569,0.3996413298385984,0.3125,-22.9031187873565,-18.126189028469124,-10.79049141748647,-3.2441822322430673,5.3226102974292315,15.92288190293514,24.794550349167444,2.4514270255448207,1.8664270255448205,151.02083333333334,0,3.195414217393766,非判定格（方向−，與 H1 一致）
擬合窗／追認格,①營收＋回檔,0,120,47,1467,3.7760853264125127,1.386736621921913,1.0580815474455632,6.494089105379462,0.4403544648943422,0.6595744680851063,-41.12246319331453,-33.059891526868434,-19.863752587505758,-4.996429997581947,15.189404693764896,44.48734697430835,73.93070411234116,12.09394943431863,11.50894943431863,31.21276595744681,1,7.380405394060221,非判定格（方向＋，與 H3 一致）
擬合窗／追認格,②正在噴出,3,120,48,4972,3.8794162481573413,0.7710866592939372,2.3680863959412246,5.390746100373458,0.42960579243765085,0.8125,-37.3914122931318,-30.024732727292207,-18.25876545076122,-3.899698961240249,14.476105230690639,41.1918779391869,66.72199010413857,10.224374173298974,9.639374173298974,103.58333333333333,0,7.380405394060221,非判定格（方向＋，與 H2 一致）
擬合窗／追認格,③純技術＋回檔,2,120,48,4338,-0.697796153362102,0.5976998963615109,-1.8692879502306632,0.47369564350645926,0.38911940986629784,0.3958333333333333,-38.05606907866438,-31.347806507454596,-19.602300951999364,-6.158507673924242,10.555571452502047,36.29576879195071,58.34001698011427,8.207430359948715,7.622430359948715,90.375,0,7.380405394060221,非判定格（方向−，與 H4 一致）
擬合窗／追認格,④死水,1,120,48,7249,-2.769503029368113,0.5859110137560839,-3.9178886163300377,-1.6211174424061885,0.37784522003034904,0.22916666666666666,-35.48723169364424,-27.858897212552975,-17.15244707113454,-5.675339428045559,7.588829107401596,23.080141271906786,36.38553260581634,5.480586689343609,4.895586689343609,151.02083333333334,0,7.380405394060221,非判定格（方向−，與 H1 一致）
主格,①營收＋回檔,0,20,62,2802,0.2327693514334798,0.40564944704103545,-0.5623035647669498,1.0278422676339094,0.4439685938615275,0.5967741935483871,-16.361385843558143,-13.42585126049007,-7.805892810223029,-1.5133161258714154,5.991214611630183,16.29607581980413,27.5202867676717,1.528422004840009,0.9434220048400089,45.193548387096776,1,0.6009203481381789,非判定格（方向＋，與 H3 一致）
主格,②正在噴出,3,20,63,9541,0.39955030262495805,0.3230020718467384,-0.23353375819464917,1.0326343634445654,0.42783775285609477,0.5873015873015873,-18.6634991598456,-14.893632939807505,-8.94538117447716,-2.03032507952001,6.517881652123131,18.479779871373516,29.382275549507263,0.9508399529198297,0.3658399529198297,151.44444444444446,0,0.6009203481381789,非判定格（方向＋，與 H2 一致）
主格,③純技術＋回檔,2,20,63,9369,-0.13421216785905238,0.16023569189871673,-0.4482741239805372,0.17984978826243242,0.4038851531646921,0.4603174603174603,-15.587086729477553,-12.76196548998681,-7.837368400206765,-2.3133929038998136,4.75392149582248,14.241524538840055,22.950372879054413,0.4844056060910059,-0.10059439390899408,148.71428571428572,0,0.6009203481381789,非判定格（方向−，與 H4 一致）
主格,④死水,1,20,63,14751,-0.49085247670244875,0.2087284878824328,-0.8999603129520171,-0.08174464045288049,0.41549725442342894,0.3333333333333333,-13.044543361358752,-10.22405383174782,-6.0881476180318845,-1.5185642084026194,3.635509120963133,9.951339757642879,14.965163014659694,0.01883480264107955,-0.5661651973589205,234.14285714285714,0,0.6009203481381789,非判定格（方向−，與 H1 一致）
主格,①營收＋回檔,0,60,62,2802,3.578587848754195,1.0006335734346312,1.6173460448223178,5.539829652686072,0.43897216274089934,0.6451612903225806,-28.527236727652276,-23.0695258110648,-14.120893737452445,-2.932976622143991,12.837198256682605,38.761399714673345,61.834898603528956,8.128434651697427,7.543434651697427,45.193548387096776,1,3.508262561495939,非判定格（方向＋，與 H3 一致）
主格,②正在噴出,3,60,63,9541,1.5337950697099212,0.6827499426354666,0.19560518214440642,2.8719849572754357,0.4219683471334242,0.6031746031746031,-30.84501001164835,-24.565202377058696,-15.432767477681008,-3.8333641919448826,11.555006255220393,33.48660262864843,54.34828827017469,6.127347584317138,5.542347584317138,151.44444444444446,0,3.508262561495939,非判定格（方向＋，與 H2 一致）
主格,③純技術＋回檔,2,60,63,9369,-0.3371978798773485,0.2690102443210332,-0.8644579587465735,0.19006219899187649,0.3806169281673604,0.38095238095238093,-28.030476673242987,-22.845475291158753,-14.626197603779238,-5.125002268258835,7.334609500952458,25.429788388064008,42.804970085394075,2.90982042721467,2.3248204272146697,148.71428571428572,0,3.508262561495939,非判定格（方向−，與 H4 一致）
主格,④死水,1,60,63,14751,-2.1058058950435803,0.5402079121997668,-3.1646134029551236,-1.0469983871320374,0.379635278964138,0.36507936507936506,-26.524308819841586,-20.934164739096467,-12.690789549319161,-4.033636129399195,5.46656001193914,16.81266147691972,26.9969099095032,1.195034567202752,0.610034567202752,234.14285714285714,0,3.508262561495939,非判定格（方向−，與 H1 一致）
主格,①營收＋回檔,0,120,62,2802,6.050903648154327,1.6059818153320353,2.9031792901035374,9.198628006205116,0.4257673090649536,0.6290322580645161,-43.08457365786828,-33.27410636719356,-20.38770087437709,-4.62653643069439,17.28000609817562,61.79613213983327,98.01680397280442,15.56433602683311,14.979336026833112,45.193548387096776,1,8.113197626800673,H3 方向成立：測得出（＋）
主格,②正在噴出,3,120,63,9541,2.669640662442456,0.9781830061003588,0.752401970485753,4.5868793543991595,0.41777591447437373,0.6349206349206349,-42.84525925261469,-34.86560338755409,-21.612035089278084,-5.561694385248058,15.23496724041839,49.22138288153135,81.43082920654331,11.157604180691957,10.572604180691956,151.44444444444446,0,8.113197626800673,H2 方向成立：測得出（＋）
主格,③純技術＋回檔,2,120,63,9369,-0.25519526431440176,0.5069855556758018,-1.2488869534389733,0.7384964248101697,0.37101078023268225,0.5079365079365079,-42.26972783658856,-34.333037165528076,-21.889814443665255,-8.345802899653732,10.290540709194632,38.60508889875359,68.05415889506065,7.34131840221454,6.756318402214541,148.71428571428572,0,8.113197626800673,H4 否證：測不出（零）
