# 閘門逐輪計數（〈八十二〉③）：每跑一輪追加一列；⛔ 不可整份覆蓋；前三列由追加四／六／七的 summary 手抄
stamp,commit,n_panel,n_liq,n_bars_dropped,n_inst_dropped,n_innov_dropped,n_eligible
2026-09-15 18:52,b795842db,229851,63255,2736,0,0,60519
2026-09-15 21:18,aa3446cd2,229851,63255,2736,907,0,59612
2026-09-15 22:10,d9fe87571,229851,63349,2737,1000,0,59612
