圈號,策略線那一行的值,配到的型名本體,本線的值,這一格的差,最佳總差,次佳總差,判定
①,-13.6,,-13.257788400925804,0.3422115990741954,0.5969087154823001,1.3124855173339078,⛔ 次佳指派太接近 ⇒ 本件分不出
②,-14.9,,-14.86207891138756,0.03792108861244081,0.5969087154823001,1.3124855173339078,⛔ 次佳指派太接近 ⇒ 本件分不出
③,-12.9,,-12.868854176533745,0.031145823466255607,0.5969087154823001,1.3124855173339078,⛔ 次佳指派太接近 ⇒ 本件分不出
④,-10.4,,-10.214369795670592,0.18563020432940824,0.5969087154823001,1.3124855173339078,⛔ 次佳指派太接近 ⇒ 本件分不出
