# commit=ad383d518 run=2026-09-15 18:52 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
stock_id,measure_date,column,mp_w,mp_half,bars
1240,2022-05-03,fore20,,0.3998891735718958,907
1240,2022-05-03,trust20,,0.0,907
1215,2016-07-01,fore20,,-1.508263348457697,363
1215,2016-07-01,trust20,,21.47833338789984,363
1216,2017-08-01,fore20,,-2.4063841765486824,627
1216,2017-08-01,trust20,,-1.2058884906711695,627
1227,2018-04-02,fore20,,-4.425698904054084,793
1227,2018-04-02,trust20,,-0.0037548236083039437,793
1227,2018-05-02,fore20,,0.8261070909722543,811
1227,2018-05-02,trust20,,0.20757858232484255,811
1229,2019-04-01,fore20,,-2.4599233673822103,1035
1229,2019-04-01,trust20,,0.4152848778796523,1035
1101,2017-05-02,fore20,,-3.240674449031778,562
1101,2017-05-02,trust20,,-0.3432447545742843,562
1101,2025-09-01,fore20,,-14.070918517166847,2597
1101,2025-09-01,trust20,,-0.004964785815110104,2597
1102,2024-07-01,fore20,,-21.570072649728385,2314
1102,2024-07-01,trust20,,20.290393661287517,2314
1315,2020-12-01,vr_20_120,,1.2376781367009209,1437
1315,2021-04-01,vr_20_120,,1.6894889928684573,1515
1316,2025-09-01,fore20,,-20.695909184905368,2583
1316,2025-09-01,trust20,,0.0,2583
1325,2020-03-02,fore20,,-1.571284212025258,1246
1325,2020-03-02,trust20,,0.0,1246
1325,2023-12-01,fore20,,0.29804928396995545,2165
1325,2023-12-01,trust20,,0.0,2165
1336,2017-10-02,fore20,,33.03642230828178,673
1336,2017-10-02,trust20,,0.0,673
1339,2019-09-02,fore20,,0.013488200353728054,1141
1339,2019-09-02,trust20,,0.0,1141
1409,2017-03-01,fore20,,2.786793813580498,523
1409,2017-03-01,trust20,,0.0,523
1417,2020-10-05,fore20,,-7.023202470819489,1392
1417,2020-10-05,trust20,,0.0,1392
1417,2021-06-01,fore20,,2.358616721834431,1550
1417,2021-06-01,trust20,,0.0,1550
1419,2016-07-01,fore20,,-0.33328747297705164,362
1419,2016-07-01,trust20,,-0.2766286025709529,362
1439,2018-05-02,fore20,,13.185326086956522,811
1439,2018-05-02,trust20,,0.0,811
1444,2017-10-02,fore20,,-6.7157424446732765,673
1444,2017-10-02,trust20,,-0.003133804220566158,673
1449,2020-07-01,fore20,,-0.8276396998878465,1334
1449,2020-07-01,trust20,,0.0,1334
1460,2021-10-01,vr_20_120,,0.8686888121125663,1644
1452,2016-03-01,fore20,,-14.542970746689948,279
1452,2016-03-01,trust20,,0.0,279
1453,2024-05-02,fore20,,11.237611569149824,2265
1453,2024-05-02,trust20,,0.0,2265
1457,2018-01-02,fore20,,-7.412622223730972,724
1457,2018-01-02,trust20,,0.0,724
1504,2017-03-01,fore20,,-4.105448747272376,523
1504,2017-03-01,trust20,,-0.2172075424249547,523
1504,2025-08-01,fore20,,5.102631974615019,2578
1504,2025-08-01,trust20,,-3.7625513056263413,2578
