# commit=a9667348a run=2026-09-20 10:11 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
group,period,H,n,value,ref,note
①流動性擋掉,擬合窗／追認格,20.0,60779,1.1684448339642373,1.0701257524719154,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,擬合窗／追認格,60.0,60779,3.275065238884605,3.3656798190751536,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,擬合窗／追認格,120.0,60779,7.625174512862408,7.981125826972716,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,主格,20.0,75638,0.9350712469455581,0.4948776936542233,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,主格,60.0,75638,3.1778690167350345,3.4423799081989728,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,主格,120.0,75638,7.150800674142165,7.529768710709141,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,副格,20.0,117154,1.2501187941096605,0.7427751018727834,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,副格,60.0,117154,3.7449493872068613,2.673573202064354,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,副格,120.0,117154,7.810226924392863,5.319945655468863,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,第二層,20.0,19263,-0.24464463817383975,0.3839422374748203,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,第二層,60.0,19263,0.03566663204793177,7.276766065376424,value＝被擋掉者平均毛報酬 pp；ref＝合格者
①流動性擋掉,第二層,120.0,19263,4.637046047225663,19.924580638045754,value＝被擋掉者平均毛報酬 pp；ref＝合格者
②shares 缺值補 50,2015,,0,0.0,1584.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2016,,0,0.0,3525.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2017,,0,0.0,4315.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2018,,0,0.0,4232.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2019,,0,0.0,4091.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2020,,0,0.0,5394.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2021,,0,0.0,7243.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2022,,0,0.0,5857.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2023,,0,0.0,6684.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2024,,0,0.0,7973.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2025,,0,0.0,6911.0,value＝占合格列 %；ref＝合格列數
②shares 缺值補 50,2026,,0,0.0,1909.0,value＝占合格列 %；ref＝合格列數
③補 50 改變歸型,全部,,376,5.431171457460639,6923.0,value＝改變占有缺值列 %；ref＝有缺值列數（對照＝缺值維不進距離）
④型×月 <5 檔丟棄,擬合窗／追認格,120.0,2,,46.0,①營收＋回檔；ref＝有效月
④型×月 <5 檔丟棄,擬合窗／追認格,120.0,0,,48.0,②正在噴出；ref＝有效月
④型×月 <5 檔丟棄,擬合窗／追認格,120.0,0,,48.0,③純技術＋回檔；ref＝有效月
④型×月 <5 檔丟棄,擬合窗／追認格,120.0,0,,48.0,④死水；ref＝有效月
④型×月 <5 檔丟棄,主格,120.0,2,,61.0,①營收＋回檔；ref＝有效月
④型×月 <5 檔丟棄,主格,120.0,0,,63.0,②正在噴出；ref＝有效月
④型×月 <5 檔丟棄,主格,120.0,0,,63.0,③純技術＋回檔；ref＝有效月
④型×月 <5 檔丟棄,主格,120.0,0,,63.0,④死水；ref＝有效月
④型×月 <5 檔丟棄,副格,120.0,4,,92.0,①營收＋回檔；ref＝有效月
④型×月 <5 檔丟棄,副格,120.0,0,,96.0,②正在噴出；ref＝有效月
④型×月 <5 檔丟棄,副格,120.0,0,,96.0,③純技術＋回檔；ref＝有效月
④型×月 <5 檔丟棄,副格,120.0,0,,96.0,④死水；ref＝有效月
④型×月 <5 檔丟棄,第二層,120.0,0,,15.0,①營收＋回檔；ref＝有效月
④型×月 <5 檔丟棄,第二層,120.0,0,,15.0,②正在噴出；ref＝有效月
④型×月 <5 檔丟棄,第二層,120.0,0,,15.0,③純技術＋回檔；ref＝有效月
④型×月 <5 檔丟棄,第二層,120.0,0,,15.0,④死水；ref＝有效月
⑤2015-2016 硬納入（不判定）,2015-2016,120.0,17,-2.282545770757991,0.3131728322568017,①營收＋回檔；value＝超額 pp（CI -4.13～-0.43）；ref＝rev_hi24 覆蓋率 %
⑤2015-2016 硬納入（不判定）,2015-2016,120.0,17,1.4212039128926957,0.3131728322568017,②正在噴出；value＝超額 pp（CI -0.31～+3.15）；ref＝rev_hi24 覆蓋率 %
⑤2015-2016 硬納入（不判定）,2015-2016,120.0,17,0.10820792464852706,0.3131728322568017,③純技術＋回檔；value＝超額 pp（CI -2.85～+3.07）；ref＝rev_hi24 覆蓋率 %
