型,本線 kmeans_idx,本線 n,策略線 n,n 差,p05 本線,p05 差,p10 本線,p10 差,p50 本線,p50 差,p90 本線,p90 差,平均 本線,平均 差,最大分位差,狀態
營收＋回檔,0,2616,2623,-7,-42.30938804163853,0.09061195836147107,-32.82540877984387,0.07459122015612962,-4.101535194763921,-0.001535194763921055,62.12540656187192,0.12540656187191956,7.164088698843674,-0.7359113011563263,0.12540656187191956,✅ 對上（口徑差）
純技術＋回檔,2,9660,9663,-3,-42.26597829564161,0.034021704358387694,-34.45827104505843,0.041728954941568475,-8.344768160840795,-0.04476816084079438,38.86850429733183,-0.031495702668166814,-0.1533813452834114,-0.1533813452834114,0.04476816084079438,✅ 對上（口徑差）
正在噴出,3,9528,9529,-1,-42.72790450100933,-0.02790450100932418,-34.83250924773346,-0.032509247733464974,-5.594417191217013,0.005582808782986781,49.17002864342397,-0.029971356576034225,2.6600332786132057,-0.8399667213867943,0.032509247733464974,✅ 對上（口徑差）
死水,1,14762,14762,0,-41.87593970046549,0.024060299534511387,-32.85166349744253,-0.05166349744253296,-6.7703275128219165,0.02967248717808335,24.82008020731325,0.020080207313249332,-3.826331902923415,-0.22633190292341476,0.05166349744253296,✅ 對上（口徑差）
