# commit=57ab95643 run=2026-09-20 02:52 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
period,H,type,metric,策略線,回測線,diff,tol,within
主格,20,③純技術＋回檔,p10,-12.9,-12.86885417653375,0.031145823466250278,1.0,True
主格,20,③純技術＋回檔,p25,-7.9,-7.855600096262454,0.04439990373754643,1.0,True
主格,20,③純技術＋回檔,p50,-2.3,-2.295279258713486,0.0047207412865137854,1.0,True
主格,20,③純技術＋回檔,p90,14.3,14.343318482461727,0.04331848246172676,1.0,True
主格,20,③純技術＋回檔,p95,22.9,22.963748822452022,0.06374882245202329,1.0,True
主格,20,③純技術＋回檔,win,40.3,40.507246376811594,0.20724637681159663,,
主格,20,④死水,excess,-0.51,-0.49679025252768155,0.013209747472318456,0.3,True
主格,20,④死水,p05,-13.2,-13.043117773638924,0.15688222636107518,1.0,True
主格,20,④死水,p10,-10.4,-10.214369795670596,0.1856302043294047,1.0,True
主格,20,④死水,p25,-6.2,-6.090802411539972,0.10919758846002825,1.0,True
主格,20,④死水,p50,-1.6,-1.5137642769864947,0.08623572301350535,1.0,True
主格,20,④死水,p90,10.0,9.848007049171557,-0.15199295082844344,1.0,True
主格,20,④死水,p95,15.1,14.94768013543249,-0.15231986456750946,1.0,True
主格,20,④死水,win,41.4,41.55263514428939,0.15263514428939118,,
副格,120,①營收＋回檔,excess,2.28,3.1200751122259853,0.8400751122259855,0.3,False
副格,120,①營收＋回檔,lo,0.32,1.212516832719734,0.8925168327197339,0.3,False
副格,120,①營收＋回檔,hi,4.25,5.027633391732237,0.7776333917322367,0.3,False
副格,120,①營收＋回檔,win,41.9,42.5068954949433,0.6068954949433021,,
副格,120,②正在噴出,excess,3.0,2.8872541403256053,-0.11274585967439466,0.3,True
副格,120,②正在噴出,lo,1.92,1.8473666683469434,-0.07263333165305652,0.3,True
副格,120,②正在噴出,hi,4.08,3.927141612304267,-0.152858387695733,0.3,True
副格,120,②正在噴出,win,42.0,41.89467025146291,-0.10532974853708765,,
副格,120,③純技術＋回檔,excess,-0.83,-0.6084216586658825,0.22157834133411747,0.3,True
副格,120,③純技術＋回檔,lo,-1.57,-1.3896697779065288,0.18033022209347127,0.3,True
副格,120,③純技術＋回檔,hi,-0.09,0.1728264605747639,0.2628264605747639,0.3,True
副格,120,③純技術＋回檔,win,38.0,38.28439345946409,0.28439345946409134,,
副格,120,④死水,excess,-2.45,-2.4900942585647106,-0.04009425856471038,0.3,True
副格,120,④死水,lo,-3.3,-3.3389781911467242,-0.038978191146724406,0.3,True
副格,120,④死水,hi,-1.6,-1.641210325982697,-0.041210325982696805,0.3,True
副格,120,④死水,win,38.6,38.399339933993396,-0.20066006600660558,,
擬合窗／追認格,120,①營收＋回檔,excess,3.91,3.0707352035089164,-0.8392647964910838,0.3,False
擬合窗／追認格,120,②正在噴出,excess,3.99,3.875455498183733,-0.11454450181626719,0.3,True
擬合窗／追認格,120,③純技術＋回檔,excess,-0.98,-0.5448637025603672,0.4351362974396328,0.3,False
擬合窗／追認格,120,④死水,excess,-2.72,-2.746183269716094,-0.02618326971609397,0.3,True
第二層,120,①營收＋回檔,excess,18.29,19.41442131107222,1.124421311072222,0.3,False
第二層,120,②正在噴出,excess,6.09,5.095170866279533,-0.9948291337204669,0.3,False
第二層,120,③純技術＋回檔,excess,1.28,1.5061331170781396,0.22613311707813954,0.3,True
第二層,120,④死水,excess,-9.26,-8.921777200555692,0.3382227994443081,0.3,False
主格,120,母體基準,bench,8.08,8.090002501442015,0.010002501442015088,0.3,True
