# commit=621507cf5 run=2026-09-16 03:18 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
measure_date,stock_id,market,bars,inst_win_notraded,inst_win_missing_traded,fwd_20,fwd_60,fwd_120
2015-08-03,1799,tpex,139,0.0,1.0,-0.26447574334898283,-0.09076682316118934,0.020344287949921824
2015-08-03,3520,tpex,139,0.0,2.0,-0.245933014354067,-0.22775119617224882,-0.044976076555024114
2015-08-03,4703,tpex,139,0.0,3.0,-0.5526613816534541,-0.5526613816534541,-0.5526613816534541
2015-08-03,4905,tpex,139,0.0,3.0,-0.2668506699058282,-0.11957580447635374,0.049199041307788294
2015-09-01,3105,tpex,152,8.0,0.0,0.30095541401273906,0.5987261146496818,0.8789808917197452
2015-09-01,3511,tpex,160,0.0,1.0,0.08595641646489116,-0.34503631961259074,-0.25302663438256645
2015-09-01,3520,tpex,160,0.0,3.0,-0.04387096774193555,0.2812903225806449,0.3161290322580643
2015-10-01,1599,tpex,180,0.0,6.0,0.4253135689851768,0.019384264538198526,0.5621436716077537
2015-10-01,3035,twse,170,10.0,0.0,0.29484029484029506,0.15356265356265375,0.030712530712530883
2015-10-01,3511,tpex,180,0.0,1.0,-0.1428571428571428,-0.37755102040816324,-0.39342403628117917
2015-10-01,3520,tpex,180,0.0,3.0,0.12010796221322528,0.417004048582996,0.5991902834008098
2015-10-01,5309,tpex,180,0.0,2.0,-0.04334365325077383,0.2198142414860682,0.06811145510835925
2015-10-01,6217,tpex,180,0.0,1.0,0.04756756756756775,-0.031351351351351364,-0.00432432432432428
2015-11-02,3687,tpex,201,0.0,4.0,-0.08300395256917015,-0.18577075098814233,-0.2806324110671937
2015-11-02,4414,twse,201,0.0,2.0,-0.03141361256544495,-0.018324607329842868,0.1413612565445026
2015-11-02,4420,tpex,155,0.0,3.0,-0.28513731825525035,-0.49434571890145396,-0.3328446414568409
2015-11-02,8403,tpex,201,0.0,1.0,0.22298850574712636,0.07586206896551717,-0.011494252873563315
2015-12-01,1527,twse,214,3.0,0.0,-0.07658321060382922,0.03681885125184081,0.008836524300441795
2015-12-01,1777,tpex,222,0.0,2.0,-0.0011494252873562871,0.034482758620689724,0.17241379310344818
2016-01-04,2926,tpex,244,0.0,5.0,-0.03080568720379151,-0.09715639810426546,-0.13981042654028442
2016-01-04,3545,twse,237,6.0,0.0,-0.1843251088534108,-0.16981132075471694,-0.24673439767779393
2016-01-04,6111,tpex,238,0.0,1.0,0.004366812227074135,-0.026200873362445476,-0.21834061135371174
2016-02-01,1473,twse,266,0.0,1.0,0.07934336525307817,0.10485717846228626,-0.013520376372958887
2016-02-01,3520,tpex,266,0.0,1.0,0.28979143798024154,-0.084522502744237,0.3227222832052692
2016-02-01,4157,tpex,266,0.0,1.0,-0.05479452054794509,-0.09417808219178081,0.03253424657534243
2016-02-01,5288,twse,266,0.0,1.0,0.09264853977844933,-0.035246727089627394,0.14300100704934526
2016-02-01,5309,tpex,266,0.0,1.0,0.16981132075471694,-0.022012578616352196,-0.05660377358490565
2016-02-01,8096,tpex,266,0.0,1.0,0.21066666666666656,0.029333333333333433,0.06399999999999983
2016-02-01,8403,tpex,266,0.0,1.0,0.03194888178913735,-0.11395101171458999,-0.15015974440894586
2016-03-01,1452,twse,279,0.0,1.0,-0.041015625,-0.2519531250000001,0.019536107113472756
2016-03-01,1473,twse,279,0.0,1.0,0.009333333333333416,0.1647750112969888,-0.18685518079266805
2016-03-01,1580,tpex,279,0.0,1.0,0.07373271889400912,-0.041474654377880116,0.3749151712175425
2016-03-01,2841,twse,279,0.0,1.0,-0.037190082644627975,-0.12396694214876025,-0.10743801652892548
2016-03-01,3413,twse,145,0.0,1.0,0.10125260960334015,-0.13048016701461385,-0.014158291364114395
2016-03-01,3520,tpex,279,0.0,1.0,0.19897959183673453,-0.05408163265306132,0.30612244897959173
2016-03-01,4529,tpex,279,0.0,1.0,0.07093023255813957,-0.11744186046511618,-0.10581395348837208
2016-03-01,5288,twse,279,0.0,1.0,-0.16339285714285712,-0.1071428571428572,0.025440309266895778
2016-03-01,5309,tpex,279,0.0,1.0,-0.027397260273972712,-0.16712328767123286,-0.24931506849315077
2016-03-01,8096,tpex,279,0.0,1.0,0.004784688995215447,-0.07655502392344493,-0.09569377990430628
2016-03-01,8222,twse,263,0.0,1.0,-0.003401360544217691,0.2142857142857144,0.06594435554495637
2016-03-01,8403,tpex,279,0.0,1.0,-0.09210526315789469,-0.13765182186234803,-0.21457489878542513
2016-04-01,2317,twse,301,1.0,0.0,-0.09374999999999989,-0.006009615384615419,0.10564991302540228
2016-04-01,2354,twse,301,1.0,0.0,-0.10292072322670387,0.04311543810848395,0.3326316288659168
2016-04-01,3016,twse,302,0.0,1.0,-0.2264150943396227,-0.1773584905660378,-0.26792452830188684
2016-04-01,3064,tpex,302,0.0,6.0,-0.4288354898336415,-0.3142329020332717,-0.3678373382624769
2016-04-01,3632,tpex,302,0.0,1.0,-0.08317580340264652,-0.14555765595463144,-0.24007561436672975
2016-04-01,4108,twse,302,0.0,1.0,-0.21937639198218273,-0.180400890868597,-0.2884187082405345
2016-04-01,4174,tpex,253,1.0,0.0,-0.13403263403263388,0.18181818181818188,-0.0804195804195803
2016-04-01,4529,tpex,302,0.0,2.0,-0.22055674518201296,-0.13276231263383298,-0.23768736616702357
2016-04-01,4533,tpex,302,0.0,3.0,-0.18711656441717794,-0.1165644171779141,-0.07136412928794755
2016-04-01,4916,twse,302,0.0,1.0,0.14267990074441683,0.21138452655328743,0.01701123295519258
2016-04-01,6227,tpex,302,0.0,8.0,-0.13716814159292035,-0.36172566371681414,-0.4210306273549378
2016-04-01,6294,tpex,299,0.0,1.0,0.07172995780590719,0.1518987341772151,0.14920875612526507
2016-05-03,1592,twse,320,0.0,5.0,0.20852017937219713,0.1917606591270098,0.09454409864160107
2016-05-03,2388,twse,321,0.0,3.0,0.02272727272727293,-0.045454545454545414,-0.09469696969696961
2016-05-03,4529,tpex,321,0.0,1.0,0.004005340453938633,0.11081441922563418,-0.08277703604806408
2016-05-03,4534,tpex,321,0.0,1.0,0.13793103448275845,0.6636089275575383,0.3126611234923702
2016-05-03,4911,tpex,320,0.0,5.0,0.1255411255411254,-0.08658008658008665,-0.2935064935064936
2016-05-03,5309,tpex,321,0.0,1.0,-0.08630952380952384,-0.11011904761904767,-0.28273809523809523
2016-06-01,2311,twse,341,1.0,0.0,0.012500000000000178,0.12524953037798148,-0.0007436602821014882
2016-06-01,2325,twse,341,1.0,0.0,-0.014345928683463405,-0.02961949383816176,-0.010272977975543829
2016-06-01,2454,twse,341,1.0,0.0,0.08888888888888902,0.1375319192231561,0.03052482661729683
2016-06-01,4984,twse,342,0.0,1.0,-0.001394700139470073,0.11121559446002416,-0.09148646279711936
2016-07-01,1215,twse,363,0.0,1.0,0.0427426379639797,0.01714559646357161,0.19363046154533037
2016-07-01,1419,twse,362,0.0,1.0,0.023255813953488413,-0.07503262102378427,-0.062137004840338905
2016-07-01,1532,twse,363,0.0,1.0,-0.14962361288769377,-0.19326656899143568,-0.1549136681729959
2016-07-01,1909,twse,363,0.0,1.0,0.04500779206702776,0.006767824893958663,0.05343918101487066
2016-07-01,2404,twse,363,0.0,1.0,0.02628811777076767,0.002103049421661396,0.030494216614090464
2016-07-01,2464,twse,363,0.0,1.0,0.028205557643116164,0.13153638911841692,-0.0636440703349288
2016-07-01,2707,twse,363,0.0,1.0,0.06309774681632452,0.023195954710617972,-0.03665673344794196
2016-07-01,2929,twse,363,0.0,1.0,0.05535055350553497,0.1697416974169743,-0.015529629895762675
2016-07-01,3092,twse,363,0.0,1.0,-0.05908419497784345,0.0780528629042625,-0.012160765790654837
2016-07-01,3176,tpex,363,0.0,1.0,-0.012269938650306789,-0.14110429447852757,-0.049079754601227044
2016-07-01,3221,tpex,363,0.0,1.0,-0.030369372697507835,0.018285927597240903,-0.18807239615312055
2016-07-01,3373,tpex,363,0.0,4.0,-0.10191015751672805,-0.22812818943329594,-0.33492806259346886
2016-07-01,3406,twse,363,0.0,1.0,0.11089866156787775,0.0,0.9120458891013383
2016-07-01,3413,twse,229,0.0,1.0,0.15571428571428592,0.21857142857142842,0.1885714285714286
2016-07-01,3454,twse,363,0.0,1.0,0.17869860158740902,0.026972505000093516,0.03198824373025255
2016-07-01,3498,tpex,363,0.0,1.0,-0.025316455696202556,-0.13751615834520237,-0.04796865565973163
2016-07-01,3520,tpex,363,0.0,1.0,0.10663983903420515,-0.02515090543259557,-0.04527162977867205
2016-07-01,3533,twse,363,0.0,1.0,-0.012081997816793089,-0.03629002354123578,0.08359734195124213
2016-07-01,3630,tpex,363,0.0,2.0,-0.06557377049180324,-0.17008196721311475,-0.1659836065573771
2016-07-01,4108,twse,363,0.0,1.0,-0.13315217391304335,-0.12499999999999978,-0.18070652173913038
2016-07-01,4157,tpex,363,0.0,1.0,0.10069444444444442,0.012152777777777679,-0.04513888888888895
2016-07-01,4167,tpex,199,0.0,1.0,-0.05786618444846281,-0.02893309222423135,-0.016274864376130238
2016-07-01,4180,tpex,363,0.0,1.0,-0.05514705882352944,-0.13602941176470584,-0.24632352941176472
2016-07-01,4534,tpex,363,0.0,1.0,0.20749582163876568,-0.12626145040970216,-0.18188766241778032
2016-07-01,4728,tpex,363,0.0,1.0,-0.04554079696394697,-0.12713472485768507,-0.17741935483870974
2016-07-01,4736,twse,363,0.0,1.0,-0.05921052631578938,-0.12737946629096264,-0.23824518983596332
2016-07-01,4952,twse,363,0.0,1.0,0.07439024390243887,-0.07073170731707323,-0.11097560975609755
2016-07-01,5227,tpex,363,0.0,1.0,-0.03794037940379402,0.052845528455284674,-0.1680216802168022
2016-07-01,6443,twse,184,0.0,1.0,-0.0674157303370787,-0.1685393258426966,-0.23970037453183513
2016-07-01,8088,tpex,363,0.0,3.0,0.03399415229367864,0.08184498831531783,-0.1386849516104972
2016-07-01,8105,twse,363,0.0,1.0,0.04520330490457569,-0.02713773529168373,-0.20923759509606088
2016-07-01,8429,twse,363,0.0,1.0,0.08191126279863492,-0.04654916617575211,-0.18945514595268864
2016-07-01,8432,tpex,362,1.0,0.0,-0.08767850990059844,-0.15111808371545732,-0.26692048036162863
2016-07-01,8450,tpex,363,0.0,1.0,-0.07563025210084029,-0.15709929744416906,-0.2760362063937648
2016-08-01,3176,tpex,383,0.0,1.0,-0.07444168734491319,-0.13027295285359808,-0.11166253101736978
2016-08-01,3546,tpex,383,0.0,1.0,0.14086956521739102,0.4834782608695649,0.4782608695652173
2016-08-01,4743,tpex,382,1.0,1.0,-0.11576354679802969,-0.1798029556650247,-0.20566502463054193
2016-08-01,8064,tpex,383,0.0,1.0,0.0,-0.008695652173913104,-0.05217391304347818
2016-08-01,8074,tpex,383,0.0,1.0,0.07810107197549776,-0.13169984686064296,-0.02450229709035212
2016-09-01,3234,tpex,396,10.0,0.0,-0.18205128205128196,-0.3192307692307692,-0.23974358974358967
2016-09-01,3313,tpex,406,0.0,4.0,-0.10909090909090913,0.11515151515151523,1.2606060606060607
2016-09-01,3546,tpex,406,0.0,3.0,0.14240506329113933,0.254746835443038,0.26107594936708867
2016-09-01,4956,twse,406,0.0,3.0,-0.009090909090909038,0.04318181818181799,-0.002272727272727426
2016-09-01,6488,tpex,228,1.0,0.0,0.001315789473684159,0.23157894736842088,1.5197368421052633
2016-09-01,8114,twse,405,1.0,0.0,0.02652519893899208,-0.04877672704706648,-0.08597540252567282
2016-10-03,1569,tpex,425,0.0,3.0,0.13478260869565206,0.38913043478260856,0.24999999999999978
2016-10-03,2314,twse,419,6.0,1.0,-0.032899350479388856,-0.04612142967205346,0.2220978910934286
2016-10-03,2349,twse,418,7.0,0.0,-0.17675159235668791,-0.18471337579617841,-0.12579617834394907
2016-10-03,2492,twse,411,8.0,0.0,-0.06905370843989767,-0.12276214833759602,0.1470588235294119
2016-10-03,3059,twse,425,0.0,1.0,-0.04641350210970452,-0.05485232067510559,0.04219409282700415
2016-10-03,3105,tpex,409,8.0,0.0,-0.11612903225806448,-0.02580645161290318,0.446236559139785
2016-10-03,3272,tpex,425,0.0,1.0,0.09242144177449174,-0.06839186691312393,-0.15341959334565636
2016-10-03,3520,tpex,425,0.0,2.0,-0.09743589743589742,-0.04923076923076919,0.2923076923076924
2016-10-03,3588,twse,425,0.0,2.0,-0.09079445145018927,-0.10592686002522056,-0.19293820933165196
2016-10-03,4534,tpex,425,0.0,1.0,0.01333333333333342,-0.033333333333333326,-0.05499999999999994
2016-10-03,4903,tpex,425,0.0,5.0,-0.10694444444444451,-0.07083333333333319,0.5638888888888889
2016-10-03,4956,twse,425,0.0,3.0,0.06728538283062635,-0.058004640371229765,0.1577726218097446
2016-10-03,5443,tpex,425,0.0,1.0,-0.07906976744186045,-0.05581395348837204,0.23720930232558146
2016-10-03,5474,tpex,425,0.0,3.0,-0.04811443433029905,-0.07672301690507155,-0.10663198959687903
