date,stock_id,name,changed,split_auction,managed,match_cycle_min,halted,fin_watch
2019-07-10,1333,恩得利,1,1,0,030,0,0
2019-07-10,2719,燦星旅,1,0,0,,0,1
2019-07-10,2724,富驛-KY,1,1,0,030,0,1
2019-07-10,3064,泰偉,1,0,0,,0,1
2019-07-10,3085,新零售,1,1,0,030,0,1
2019-07-10,3086,華義,1,1,0,030,0,1
2019-07-10,3095,及成,1,1,0,030,0,1
2019-07-10,3162,精確,1,0,0,,0,1
2019-07-10,3372,典範,1,0,0,,0,1
2019-07-10,3431,長天,0,0,0,,1,0
2019-07-10,3452,益通,1,0,0,,0,0
2019-07-10,3465,進泰電子,1,0,0,,0,1
2019-07-10,4131,晶宇,1,0,0,,0,1
2019-07-10,4198,環瑞醫,1,0,0,,0,1
2019-07-10,4415,台原藥,0,0,1,045,0,0
2019-07-10,4419,元勝,1,0,0,,0,1
2019-07-10,4702,中美實,1,0,0,,0,1
2019-07-10,4806,昇華,1,0,0,,0,1
2019-07-10,5205,中茂,1,1,0,030,0,1
2019-07-10,5304,鼎創達,1,0,0,,0,0
2019-07-10,5310,天剛,1,0,0,,0,1
2019-07-10,5314,世紀,1,0,0,,0,1
2019-07-10,5381,合正,1,0,0,,0,1
2019-07-10,5468,凱鈺,1,1,0,030,0,1
2019-07-10,5701,劍湖山,1,0,0,,0,1
2019-07-10,6103,合邦,1,1,0,030,0,1
2019-07-10,6198,凌泰,1,0,0,,0,1
2019-07-10,6222,上揚,1,0,0,,0,1
2019-07-10,6236,康呈,1,1,0,030,0,1
2019-07-10,6259,百徽,1,1,0,030,0,1
2019-07-10,6287,元隆,1,1,0,030,0,0
2019-07-10,6291,沛亨,1,1,0,030,0,1
2019-07-10,8080,奧斯特,1,1,0,030,0,1
2019-07-10,8287,英格爾,1,1,0,030,0,0
2019-07-10,8291,尚茂,1,0,0,,0,1
2019-07-10,8933,愛地雅,1,0,0,,0,1
2019-07-10,911613,特藝-DR,0,0,0,,1,0
