date,stock_id,name,changed,split_auction,managed,match_cycle_min,halted,fin_watch
2026-04-01,3629,地心引力,1,1,0,030,0,1
2026-04-01,3632,研勤,1,1,0,030,0,1
2026-04-01,3710,連展投控,1,0,0,,0,1
2026-04-01,4304,勝昱,1,1,0,030,0,1
2026-04-01,4529,淳紳,1,0,0,,0,1
2026-04-01,4530,宏易,1,0,0,,0,1
2026-04-01,4609,唐鋒,1,0,0,,0,1
2026-04-01,4804,大略-KY,1,1,0,030,0,1
2026-04-01,5301,寶得利,1,0,0,,0,1
2026-04-01,5355,佳總,1,0,0,,0,1
2026-04-01,5381,合正,0,0,0,,1,1
2026-04-01,5701,劍湖山,1,0,0,,0,1
2026-04-01,6236,中湛,1,0,0,,0,1
2026-04-01,8093,保銳,1,0,0,,0,1
2026-04-01,8277,商丞,1,0,0,,0,1
2026-04-01,8291,尚茂,1,0,0,,0,1
2026-04-01,8937,合騏,0,0,0,,1,1
