date,stock_id,name,changed,split_auction,managed,match_cycle_min,halted,fin_watch
2025-12-29,02001B,統一美國政府債N,0,0,0,,1,0
2025-12-29,3629,地心引力,1,1,0,030,0,1
2025-12-29,3632,研勤,1,1,0,030,0,1
2025-12-29,3710,連展投控,1,0,0,,0,1
2025-12-29,4304,勝昱,1,1,0,030,0,1
2025-12-29,4529,淳紳,1,0,0,,0,1
2025-12-29,4530,宏易,1,0,0,,0,1
2025-12-29,4609,唐鋒,1,0,0,,0,1
2025-12-29,4804,大略-KY,1,1,0,030,0,1
2025-12-29,5301,寶得利,1,0,0,,0,1
2025-12-29,5355,佳總,1,0,0,,0,1
2025-12-29,5701,劍湖山,1,0,0,,0,1
2025-12-29,6103,合邦,1,0,0,,0,1
2025-12-29,6236,中湛,1,0,0,,0,1
2025-12-29,8093,保銳,1,0,0,,0,1
2025-12-29,8277,商丞,1,0,0,,0,1
2025-12-29,8291,尚茂,0,0,0,,1,1
