date,stock_id,name,changed,split_auction,managed,match_cycle_min,halted,fin_watch
2019-02-12,1333,恩得利,1,1,0,030,0,0
2019-02-12,2724,富驛-KY,1,1,0,030,0,1
2019-02-12,3064,泰偉,1,1,0,030,0,1
2019-02-12,3085,新零售,1,0,0,,0,1
2019-02-12,3086,華義,1,1,0,030,0,1
2019-02-12,3095,及成,1,1,0,030,0,1
2019-02-12,3162,精確,1,0,0,,0,1
2019-02-12,3207,耀勝,1,0,0,,0,1
2019-02-12,3219,倚強,1,0,0,,0,1
2019-02-12,3288,點晶,1,1,0,030,0,1
2019-02-12,3431,長天,0,0,0,,1,0
2019-02-12,3452,益通,1,0,0,,0,0
2019-02-12,3465,進泰電子,1,1,0,030,0,1
2019-02-12,3520,振維,1,0,0,,0,1
2019-02-12,4131,晶宇,1,0,0,,0,1
2019-02-12,4198,環瑞醫,1,0,0,,0,1
2019-02-12,4402,福大,1,1,0,030,0,1
2019-02-12,4415,台原藥,0,0,1,045,0,0
2019-02-12,4419,元勝,1,0,0,,0,1
2019-02-12,4806,昇華,1,0,0,,0,1
2019-02-12,5205,中茂,1,1,0,030,0,1
2019-02-12,5304,鼎創達,1,0,0,,0,0
2019-02-12,5314,世紀,1,0,0,,0,1
2019-02-12,5381,合正,1,0,0,,0,1
2019-02-12,5455,昇益,1,0,0,,0,1
2019-02-12,5468,凱鈺,1,0,0,,0,1
2019-02-12,5701,劍湖山,1,0,0,,0,1
2019-02-12,6103,合邦,1,1,0,030,0,1
2019-02-12,6148,驊宏資,0,0,0,,1,1
2019-02-12,6198,凌泰,1,0,0,,0,1
2019-02-12,6222,上揚,0,0,0,,1,1
2019-02-12,6236,康呈,1,0,0,,0,1
2019-02-12,6259,百徽,1,1,0,030,0,1
2019-02-12,6287,元隆,1,1,0,030,0,0
2019-02-12,6291,沛亨,1,1,0,030,0,1
2019-02-12,8080,奧斯特,1,1,0,030,0,1
2019-02-12,8287,英格爾,1,1,0,030,0,0
2019-02-12,8291,尚茂,1,0,0,,0,1
2019-02-12,911613,特藝-DR,0,0,0,,1,0
