arm,r,cagr,mdd,vol,first,end,trades,eq_sha,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,buys,buys_lottery,buy_diff,buy_K0_mean,buy_K0_med,buy_K1_mean,buy_K1_med,buy_K2_mean,buy_K2_med,buy_K3_mean,buy_K3_med,buy_K4_mean,buy_K4_med
lottery,0,0.4245474925809207,-0.3779174551837645,0.2858868790271357,526,2859,163,ea98c4b878bf35b6,0.22678182627529364,0.0034820427654422836,0.2410577526788349,0.5459966192938406,1.3619157858556146,-0.026440091774618812,0.8088279273810228,0.1402016682982521,0.4600865194240731,0.7265279608697013,163,163,0,4.680981595092025,5.0,3.1349693251533743,3.0,0.1278317954174312,0.057460822716889126,4.447870938045242,3.764955357954852,0.2507357921517667,0.22007042253521125
lottery,1,0.37154827317964134,-0.4450722379745732,0.28306297149907655,526,2859,163,469805073227539f,0.22678182627529364,-0.043104201521999674,0.13928463052817386,0.5026975231891369,1.2734048130542335,-0.029981141092017438,0.8304917276726973,0.05977398104539633,0.4646720355454037,0.5677276377864955,163,163,0,4.711656441717792,5.0,3.1349693251533743,3.0,0.12819298023021172,0.05179282868525892,4.898736158453434,3.829034373621563,0.24986130098500423,0.22007042253521125
lottery,2,0.4371455969386213,-0.3407715731344233,0.2840347252652851,526,2859,163,6d062c39413a87fd,0.354077161677107,0.02393416262271808,0.23960832198229887,0.5643994080861485,1.2130069233732503,-0.03016355301862106,0.8374660806623004,0.11283215544119529,0.5784677332380916,0.6474880626603909,163,163,0,4.815950920245399,5.0,3.1165644171779143,3.0,0.13478163306051807,0.06364105815678855,4.58226259352438,3.7778763920149023,0.24387407795258298,0.21219512195121948
lottery,3,0.37964691804997663,-0.3716907206603616,0.28073781645355544,526,2859,163,b00d91851d0521b7,0.332466305772565,0.028238142016170587,0.13445454309517801,0.5289587385179326,0.8520525683303246,-0.025150004947314897,0.8304917276726977,0.05598037137947065,0.5517315225515838,0.6216587918005683,163,163,0,4.92638036809816,5.0,3.1104294478527605,3.0,0.12605520004193888,0.05541267588979548,4.451606118412292,3.760924715851219,0.24952526633848135,0.21996615905245331
lottery,4,0.36110753129829765,-0.40915949898760773,0.27997285947448525,526,2859,163,28a9be99e60f0998,0.18624098825847502,-0.02903917039918069,0.134913704608689,0.46724317848366015,1.2601853362835094,-0.027008029642505815,0.808827927381023,0.03386067148656546,0.4853793601032823,0.5677050823075709,163,163,0,4.815950920245399,5.0,3.1226993865030677,3.0,0.12632738390353623,0.053664334205347775,4.796057179952997,3.7778763920149023,0.24308696869955077,0.21225382932166292
lottery,5,0.3629288658238661,-0.3772896807240475,0.27867203222853704,526,2859,163,862ff0904ad997e4,0.24455289203698638,-0.055259762280668534,0.13481018333087347,0.4700345395415553,1.1364279945273381,-0.030320579325190833,0.8088279273810233,0.09990300331309965,0.5095133194176862,0.524246193444923,163,163,0,4.846625766871166,5.0,3.1349693251533743,3.0,0.12887201501420423,0.05642568071501053,4.932592724157021,3.760924715851219,0.2484462637942553,0.21219512195121948
lottery,6,0.40608065576235286,-0.3759275163057537,0.28913826393343656,526,2859,163,7309dca4cfa70448,0.32995629381878966,0.03827248804904326,0.13638000400605632,0.5029746141245068,0.9537218043701712,-0.03037999789674173,0.8304917276726969,0.16625015170467972,0.40932659443859243,0.8572829173267529,163,163,0,4.6871165644171775,5.0,3.128834355828221,3.0,0.1344055407066656,0.05663776557538558,4.265741134833061,3.5454517714143594,0.2551603142027065,0.22620904836193456
lottery,7,0.38850567796269675,-0.4418143661252927,0.2850051870461571,526,2859,163,3bf29e8500eae651,0.18916146840234882,-0.029323627794231033,0.2399626122628622,0.5346935608330199,1.1185979532117987,-0.030549384731456408,0.808827927381023,0.04183601710028739,0.48167376072868406,0.7599376292131139,163,163,0,4.785276073619632,5.0,3.128834355828221,3.0,0.12821861431698622,0.05663776557538558,4.972801876330359,3.764955357954852,0.2435923204400773,0.21225382932166292
lottery,8,0.3999006422506848,-0.3732840193676708,0.2877319401454195,526,2859,163,6815546863fd0aef,0.2384175605796537,-0.017725996505268182,0.12433045398205733,0.46173189557263905,0.8714861416166482,-0.024865496815894006,0.8374660806623002,0.2274119573350244,0.4460122173758445,1.0127170246954749,163,163,0,4.932515337423313,5.0,3.1349693251533743,3.0,0.13737524848206087,0.06186422827689597,4.4225929783786615,3.764955357954852,0.24719569268301644,0.22007042253521125
lottery,9,0.3890721412723608,-0.3610793738076328,0.28160418175091506,526,2859,163,61edec561b1b61fb,0.3714813588596675,0.02381402899918017,0.1345660948624492,0.509853829356328,0.9127037779707161,-0.023109108916117393,0.8374660806623004,0.13187121333535612,0.5441402436511669,0.5419350497258779,163,163,0,4.858895705521473,5.0,3.1226993865030677,3.0,0.12888931475908544,0.057460822716889126,4.515008167404215,3.764955357954852,0.24889327477332895,0.21225382932166292
