sid,k,pos,entry_pos,month,g_H60,g_H120,g_LD,xpos_H60,xpos_H120,xpos_LD,t_LD,relvol,g_H20,xpos_H20,score,c1,c2,c3,c4,c5,liq,K0,K1,K3,K4,K2,K2_period
1104,1528,1528,1529,2021-04,-0.0731225296442689,-0.1317461896195447,-0.1317461896195447,1588,1648,1648,False,25.89563236488198,-0.0237154150197629,1548,3,False,False,True,True,True,26642099.1,4,3.0,13.103610218160325,0.13409090909090904,0.03579032693866524,2021-03
1104,2028,2028,2029,2023-04,0.0763452811705149,-0.0352616987751095,-0.0352616987751095,2088,2148,2148,False,13.91682761160544,-0.0262237762237762,2048,3,False,False,True,True,True,52699162.85,4,3.0,6.77341465586488,0.08846153846153837,0.019848149450731434,2023-03
1108,2015,2015,2016,2023-04,0.0454545454545456,-0.0166736493925266,-0.0166736493925266,2075,2135,2135,False,6.691520293039605,0.0616883116883117,2035,3,False,False,True,True,True,26444290.65,8,3.0,3.717507204149566,0.12408759124087587,0.04232106060823382,2023-03
1109,1037,1061,1062,2019-05,-0.0453284002674421,0.0212765950627364,0.0212765950627364,1121,1181,1181,False,47.21071649124754,0.0265957446808509,1081,3,False,False,True,True,True,15784662.65,9,3.0,9.59440663117371,0.13595166163142003,0.03203584199926013,2019-04
1220,2423,2423,2424,2024-12,-0.1617250673854446,-0.2776280323450134,-0.2964959568733153,2483,2543,2497,True,18.16434207700458,-0.0808625336927224,2443,3,False,False,True,True,True,12967877.55,0,3.0,6.6590549353236295,0.019662921348314377,0.1140194623586539,2024-11
1225,1477,1540,1541,2021-04,-0.2316053511705684,-0.1208238152993339,-0.0384615384615384,1600,1660,1544,True,20.897114738641992,-0.2658862876254181,1560,3,False,False,True,True,True,43564600.0,5,3.0,4.210520193000739,0.08300395256916993,0.04468982217851969,2021-03
1210,1505,1505,1506,2021-03,0.1018867924528301,0.1127035355375967,0.1127035355375967,1565,1625,1625,False,4.502485441351678,0.0283018867924527,1525,3,False,False,True,True,True,127996954.95,0,3.0,4.253602089305016,0.08829568788501008,0.032432027071083835,2021-01
1215,1578,1578,1579,2021-06,-0.0217280211023545,-0.0217280211023545,-0.0217280211023545,1638,1698,1698,False,3.562991957281243,-0.0351624677538826,1598,3,False,False,True,True,True,86290910.3,5,3.0,3.1263746791184333,0.10939510939510932,0.013949874335963175,2021-05
1215,1730,1730,1731,2022-02,-0.0564042303172738,-0.040581535596155,-0.040581535596155,1790,1850,1850,False,5.619762727967452,-0.0246768507638072,1750,3,False,False,True,True,True,39936919.05,5,3.0,4.677599435402617,0.05583126550868478,0.05017185907230104,2021-11
1301,1531,1531,1532,2021-04,-0.0418604651162791,0.1241244012361288,0.1241244012361288,1591,1651,1651,False,3.016339171856005,-0.1116279069767443,1551,3,False,False,True,True,True,1027452466.6,1,3.0,3.034748447602783,0.06930693069306937,0.2693443227450014,2021-03
1303,2787,2787,2788,2026-06,0.9721312981209628,,0.3967526107199208,2847,-1,2803,True,1.5627323544189318,0.8970819041121312,2807,4,True,True,False,True,True,7322558695.65,3,4.0,1.3353510068562204,0.3895486935866983,0.041532465101270954,2026-05
1303,2808,2808,2809,2026-07,,,-0.0658536585365853,-1,-1,2810,True,4.373223246691284,-0.0780487804878048,2828,3,True,True,False,True,False,14074878318.35,3,3.0,2.1175211328216945,0.9310172822726464,0.041532465101270954,2026-05
1304,1460,1460,1461,2020-12,0.1238738738738738,0.617117117117117,0.572072072072072,1520,1580,1544,True,9.770955552374312,-0.15990990990991,1480,3,False,False,True,True,True,249156017.95,4,3.0,8.738974586746481,0.061881188118811936,0.0012572504988725974,2020-11
1304,1529,1529,1530,2021-04,0.2781569965870307,0.2568323634950746,0.1911262798634811,1589,1649,1544,True,5.399607227957454,0.0409556313993173,1549,3,False,False,True,True,True,305543022.05,4,3.0,3.9507842918515768,0.1383399209486167,0.06691307061737684,2021-03
1305,1533,1533,1534,2021-04,-0.1696035242290748,0.0469491074334043,0.0469491074334043,1593,1653,1653,False,3.619273484260136,-0.302863436123348,1553,3,True,False,False,True,True,657479568.75,5,3.0,2.442532047122263,0.35522388059701493,0.08482308842277209,2021-03
1309,1532,1532,1533,2021-04,-0.1497120921305182,-0.1890621619069733,-0.1890621619069733,1592,1652,1652,False,6.070982765630657,-0.3330134357005758,1552,3,False,False,True,True,True,630066427.8,9,3.0,3.4531464652019666,0.18483412322274884,0.03161699848966415,2021-03
1309,2367,2367,2368,2024-09,-0.2301790281329923,-0.278772378516624,-0.278772378516624,2427,2487,2487,False,4.433230829457912,-0.0358056265984654,2387,3,False,False,True,True,True,43594209.8,9,3.0,3.9245773644003523,0.11747851002865328,0.1204224034220025,2024-08
