r,eq_sha,buys,days_sig,days_over,days_over_frac,days_full,days_act,days_act_frac,elim_by_lottery,elim_by_full,K0_tie_frac,K0_cut_tie_frac,K0_direct_diff,K0_direct_frac,K0_path_diff,K0_path_frac,K0_buys,K0_first_div_idx,K0_first_div_frac,K0_first_div_t,K0_mean_key_lottery,K0_mean_key_ranked,K1_tie_frac,K1_cut_tie_frac,K1_direct_diff,K1_direct_frac,K1_path_diff,K1_path_frac,K1_buys,K1_first_div_idx,K1_first_div_frac,K1_first_div_t,K1_mean_key_lottery,K1_mean_key_ranked,K2_tie_frac,K2_cut_tie_frac,K2_direct_diff,K2_direct_frac,K2_path_diff,K2_path_frac,K2_buys,K2_first_div_idx,K2_first_div_frac,K2_first_div_t,K2_mean_key_lottery,K2_mean_key_ranked,K3_tie_frac,K3_cut_tie_frac,K3_direct_diff,K3_direct_frac,K3_path_diff,K3_path_frac,K3_buys,K3_first_div_idx,K3_first_div_frac,K3_first_div_t,K3_mean_key_lottery,K3_mean_key_ranked,K4_tie_frac,K4_cut_tie_frac,K4_direct_diff,K4_direct_frac,K4_path_diff,K4_path_frac,K4_buys,K4_first_div_idx,K4_first_div_frac,K4_first_div_t,K4_mean_key_lottery,K4_mean_key_ranked
10,2b785c59ff968961,163,977,816,0.8352098259979529,773,43,0.044012282497441144,89,1603,0.2247191011235955,0.10344827586206896,15,0.09202453987730061,16,0.09815950920245399,163,8,0.049079754601226995,549,4.883435582822086,5.288343558282208,0.8764044943820225,0.8275862068965517,5,0.03067484662576687,5,0.03067484662576687,163,77,0.4723926380368098,1537,3.1411042944785277,3.1717791411042944,0.0,0.0,15,0.09202453987730061,16,0.09815950920245399,163,15,0.09202453987730061,657,0.13251105836958416,0.14555950120960787,0.0,0.0,16,0.09815950920245399,16,0.09815950920245399,163,8,0.049079754601226995,549,4.446008604604954,5.241497152845027,0.0,0.0,19,0.1165644171779141,19,0.1165644171779141,163,8,0.049079754601226995,549,0.25249247831752697,0.2731897201444821
11,5f55e7c7437c0c06,163,977,818,0.8372569089048106,774,44,0.04503582395087001,90,1601,0.24175824175824176,0.13333333333333333,15,0.09202453987730061,16,0.09815950920245399,163,20,0.12269938650306748,765,4.779141104294479,5.288343558282208,0.8571428571428571,0.8,7,0.04294478527607362,7,0.04294478527607362,163,77,0.4723926380368098,1537,3.128834355828221,3.1717791411042944,0.0,0.0,16,0.09815950920245399,16,0.09815950920245399,163,8,0.049079754601226995,549,0.13440041209996853,0.14555950120960787,0.0,0.0,17,0.10429447852760736,17,0.10429447852760736,163,20,0.12269938650306748,765,4.474667416615493,5.241497152845027,0.0,0.0,21,0.12883435582822086,20,0.12269938650306748,163,15,0.09202453987730061,657,0.24540187541083147,0.2731897201444821
12,dd62f2d351f01d6b,163,977,816,0.8352098259979529,773,43,0.044012282497441144,88,1604,0.2247191011235955,0.10344827586206896,18,0.11042944785276074,19,0.1165644171779141,163,15,0.09202453987730061,657,4.723926380368098,5.306748466257669,0.8764044943820225,0.8275862068965517,5,0.03067484662576687,13,0.07975460122699386,163,29,0.17791411042944785,797,3.128834355828221,3.1717791411042944,0.0,0.0,24,0.147239263803681,26,0.15950920245398773,163,8,0.049079754601226995,549,0.12347247212485746,0.14555950120960787,0.0,0.0,20,0.12269938650306748,22,0.13496932515337423,163,15,0.09202453987730061,657,4.902487120071843,5.241497152845027,0.0,0.0,15,0.09202453987730061,18,0.11042944785276074,163,25,0.15337423312883436,779,0.25377205284080584,0.2731897201444821
13,2e8c448105dcbf82,163,977,815,0.834186284544524,773,42,0.042988741044012284,88,1601,0.20689655172413793,0.07142857142857142,20,0.12269938650306748,21,0.12883435582822086,163,8,0.049079754601226995,549,4.773006134969325,5.306748466257669,0.8735632183908046,0.8214285714285714,9,0.05521472392638037,15,0.09202453987730061,163,29,0.17791411042944785,797,3.1104294478527605,3.1717791411042944,0.0,0.0,15,0.09202453987730061,18,0.11042944785276074,163,20,0.12269938650306748,765,0.13277556256842654,0.14555950120960787,0.0,0.0,14,0.08588957055214724,16,0.09815950920245399,163,8,0.049079754601226995,549,4.9871117580253586,5.241497152845027,0.0,0.0,22,0.13496932515337423,25,0.15337423312883436,163,8,0.049079754601226995,549,0.24136356704378514,0.2731897201444821
14,891c683fd70a2fa5,163,977,817,0.8362333674513818,774,43,0.044012282497441144,89,1602,0.2247191011235955,0.10344827586206896,16,0.09815950920245399,18,0.11042944785276074,163,9,0.05521472392638037,549,4.865030674846626,5.306748466257669,0.8764044943820225,0.8275862068965517,5,0.03067484662576687,7,0.04294478527607362,163,77,0.4723926380368098,1537,3.1411042944785277,3.1717791411042944,0.0,0.0,18,0.11042944785276074,21,0.12883435582822086,163,8,0.049079754601226995,549,0.13340316730860158,0.14555950120960787,0.0,0.0,16,0.09815950920245399,18,0.11042944785276074,163,9,0.05521472392638037,549,4.4722408229436095,5.241497152845027,0.0,0.0,18,0.11042944785276074,22,0.13496932515337423,163,9,0.05521472392638037,549,0.24802331354965032,0.2731897201444821
15,94defc8ca9e705b0,163,977,813,0.8321392016376663,770,43,0.044012282497441144,89,1599,0.2247191011235955,0.10344827586206896,17,0.10429447852760736,17,0.10429447852760736,163,8,0.049079754601226995,549,4.754601226993865,5.288343558282208,0.8539325842696629,0.7931034482758621,6,0.03680981595092025,6,0.03680981595092025,163,77,0.4723926380368098,1537,3.128834355828221,3.1717791411042944,0.0,0.0,15,0.09202453987730061,15,0.09202453987730061,163,15,0.09202453987730061,657,0.12934796291532943,0.14555950120960787,0.0,0.0,18,0.11042944785276074,18,0.11042944785276074,163,8,0.049079754601226995,549,4.481879173005107,5.241497152845027,0.0,0.0,16,0.09815950920245399,16,0.09815950920245399,163,8,0.049079754601226995,549,0.2502061784052456,0.2731897201444821
16,26c08cd917c69049,163,977,816,0.8352098259979529,773,43,0.044012282497441144,89,1601,0.2247191011235955,0.10344827586206896,17,0.10429447852760736,17,0.10429447852760736,163,15,0.09202453987730061,657,4.840490797546012,5.306748466257669,0.8764044943820225,0.8275862068965517,9,0.05521472392638037,13,0.07975460122699386,163,29,0.17791411042944785,797,3.098159509202454,3.1717791411042944,0.0,0.0,17,0.10429447852760736,19,0.1165644171779141,163,8,0.049079754601226995,549,0.13015772464527242,0.14555950120960787,0.0,0.0,20,0.12269938650306748,22,0.13496932515337423,163,15,0.09202453987730061,657,4.875343420913596,5.241497152845027,0.0,0.0,17,0.10429447852760736,18,0.11042944785276074,163,20,0.12269938650306748,765,0.2435900300976674,0.2731897201444821
17,3dff5e8e187fac5d,163,977,818,0.8372569089048106,775,43,0.044012282497441144,89,1602,0.2247191011235955,0.10344827586206896,18,0.11042944785276074,20,0.12269938650306748,163,9,0.05521472392638037,549,4.914110429447852,5.306748466257669,0.8764044943820225,0.8275862068965517,5,0.03067484662576687,7,0.04294478527607362,163,75,0.4601226993865031,1447,3.1411042944785277,3.1717791411042944,0.0,0.0,17,0.10429447852760736,20,0.12269938650306748,163,8,0.049079754601226995,549,0.12924669078737136,0.14555950120960787,0.0,0.0,18,0.11042944785276074,20,0.12269938650306748,163,9,0.05521472392638037,549,4.884386727889891,5.241497152845027,0.0,0.0,17,0.10429447852760736,21,0.12883435582822086,163,9,0.05521472392638037,549,0.25206276517056697,0.2731897201444821
18,c53a2ae91b0cc673,163,977,814,0.8331627430910952,771,43,0.044012282497441144,88,1598,0.2247191011235955,0.10344827586206896,21,0.12883435582822086,22,0.13496932515337423,163,8,0.049079754601226995,549,4.662576687116564,5.306748466257669,0.8764044943820225,0.8275862068965517,6,0.03680981595092025,8,0.049079754601226995,163,29,0.17791411042944785,797,3.128834355828221,3.1717791411042944,0.0,0.0,16,0.09815950920245399,19,0.1165644171779141,163,16,0.09815950920245399,663,0.1360984934032317,0.14555950120960787,0.0,0.0,20,0.12269938650306748,22,0.13496932515337423,163,8,0.049079754601226995,549,4.392591991194396,5.241497152845027,0.0,0.0,17,0.10429447852760736,19,0.1165644171779141,163,8,0.049079754601226995,549,0.2455839314275548,0.2731897201444821
19,88ddd13268885d72,163,977,816,0.8352098259979529,773,43,0.044012282497441144,89,1602,0.2247191011235955,0.10344827586206896,19,0.1165644171779141,21,0.12883435582822086,163,9,0.05521472392638037,549,4.828220858895706,5.306748466257669,0.8764044943820225,0.8275862068965517,6,0.03680981595092025,14,0.08588957055214724,163,29,0.17791411042944785,797,3.128834355828221,3.1717791411042944,0.0,0.0,18,0.11042944785276074,21,0.12883435582822086,163,8,0.049079754601226995,549,0.1310971237167462,0.14555950120960787,0.0,0.0,15,0.09202453987730061,17,0.10429447852760736,163,9,0.05521472392638037,549,4.528780119814793,5.241497152845027,0.0,0.0,18,0.11042944785276074,22,0.13496932515337423,163,9,0.05521472392638037,549,0.24213423101613646,0.2731897201444821
20,eadcc4f8ad1b6092,163,977,814,0.8331627430910952,772,42,0.042988741044012284,86,1605,0.18604651162790697,0.07142857142857142,16,0.09815950920245399,17,0.10429447852760736,163,15,0.09202453987730061,657,4.858895705521473,5.288343558282208,0.872093023255814,0.8214285714285714,4,0.024539877300613498,4,0.024539877300613498,163,77,0.4723926380368098,1537,3.147239263803681,3.1717791411042944,0.0,0.0,18,0.11042944785276074,19,0.1165644171779141,163,8,0.049079754601226995,549,0.12863952669674728,0.14555950120960787,0.0,0.0,16,0.09815950920245399,16,0.09815950920245399,163,15,0.09202453987730061,657,4.958141600831402,5.241497152845027,0.0,0.0,13,0.07975460122699386,14,0.08588957055214724,163,16,0.09815950920245399,663,0.2575718299833955,0.2731897201444821
21,928169f049abeb76,163,977,818,0.8372569089048106,774,44,0.04503582395087001,88,1603,0.2222222222222222,0.13333333333333333,16,0.09815950920245399,17,0.10429447852760736,163,8,0.049079754601226995,549,4.742331288343558,5.288343558282208,0.8555555555555555,0.8,5,0.03067484662576687,5,0.03067484662576687,163,29,0.17791411042944785,797,3.1349693251533743,3.1717791411042944,0.0,0.0,22,0.13496932515337423,22,0.13496932515337423,163,16,0.09815950920245399,663,0.12998348845859997,0.14555950120960787,0.0,0.0,20,0.12269938650306748,20,0.12269938650306748,163,8,0.049079754601226995,549,4.914179143552497,5.241497152845027,0.0,0.0,15,0.09202453987730061,16,0.09815950920245399,163,8,0.049079754601226995,549,0.2546424598553927,0.2731897201444821
