date,item,buy,sell,repay,prev,balance
2023-05-10,融券(交易單位),27044,24629,696,305138,302027
2023-05-10,融資(交易單位),210375,183077,3790,7057315,7080823
2023-05-10,融資金額(仟元),6646370,6281679,108133,176106694,176363252
