date,item,buy,sell,repay,prev,balance
2015-01-05,融券(交易單位),24246,57407,18010,553223,568375
2015-01-05,融資(交易單位),468808,396466,6380,11476285,11542247
2015-01-05,融資金額(仟元),7483757,6289881,94218,204246599,205346257
