date,item,buy,sell,repay,prev,balance
2019-11-27,融券(交易單位),53468,34536,7677,756916,730307
2019-11-27,融資(交易單位),269298,237748,3436,7314692,7342806
2019-11-27,融資金額(仟元),5477208,5150811,101618,139876020,140100799
