date,item,buy,sell,repay,prev,balance
2019-06-04,融券(交易單位),26602,28936,961,377062,378435
2019-06-04,融資(交易單位),174215,155926,6204,7078381,7090466
2019-06-04,融資金額(仟元),3394422,3151366,135564,124516719,124624211
