date,item,buy,sell,repay,prev,balance
2024-09-03,融券(交易單位),16254,25849,5379,249653,253869
2024-09-03,融資(交易單位),298232,231183,6821,9336480,9396708
2024-09-03,融資金額(仟元),11576877,10974786,167222,313261560,313696428
