date,item,buy,sell,repay,prev,balance
2019-08-28,融券(交易單位),24722,24025,9618,449895,439580
2019-08-28,融資(交易單位),232117,192577,6530,7237397,7270407
2019-08-28,融資金額(仟元),5269111,4704552,152949,130642617,131054227
