date,item,buy,sell,repay,prev,balance
2016-05-20,融券(交易單位),22049,32806,1992,347726,356491
2016-05-20,融資(交易單位),132628,146626,7159,8545107,8523949
2016-05-20,融資金額(仟元),2579430,2957470,176006,130682894,130128848
