date,item,buy,sell,repay,prev,balance
2025-12-15,融券(交易單位),29100,26477,587,307405,304195
2025-12-15,融資(交易單位),288415,244144,7445,7592527,7629353
2025-12-15,融資金額(仟元),16413205,13576239,327210,329349582,331859338
