date,item,buy,sell,repay,prev,balance
2022-03-10,融券(交易單位),37466,34164,2931,404498,398265
2022-03-10,融資(交易單位),358766,346433,5061,8627622,8634894
2022-03-10,融資金額(仟元),12467651,12430883,161288,264064412,263939892
