date,item,buy,sell,repay,prev,balance
2020-03-06,融券(交易單位),50637,47789,1277,902548,898423
2020-03-06,融資(交易單位),323621,265349,9822,6789128,6837578
2020-03-06,融資金額(仟元),6671827,5106693,216262,135199398,136548270
