date,item,buy,sell,repay,prev,balance
2018-01-30,融券(交易單位),53985,30470,1479,570997,546003
2018-01-30,融資(交易單位),332154,386467,5797,9448100,9387990
2018-01-30,融資金額(仟元),7443208,7900696,143415,177230152,176629249
