date,item,buy,sell,repay,prev,balance
2020-12-02,融券(交易單位),25789,49771,3613,1073280,1093649
2020-12-02,融資(交易單位),636522,619068,10350,8090654,8097758
2020-12-02,融資金額(仟元),13672990,12498378,227768,168377003,169323847
