date,item,buy,sell,repay,prev,balance
2022-08-05,融券(交易單位),39240,51283,3873,595630,603800
2022-08-05,融資(交易單位),243145,214577,4568,7378655,7402655
2022-08-05,融資金額(仟元),7028135,6908803,164994,190023702,189978040
